,시작온도,count
15,150 - 160,1
21,210 - 220,1
22,220 - 230,1
23,230 - 240,1
29,290 - 300,2
32,320 - 330,1
33,330 - 340,2
34,340 - 350,6
35,350 - 360,16
36,360 - 370,5
37,370 - 380,2
38,380 - 390,4
39,390 - 400,2
41,410 - 420,1
46,460 - 470,1
47,470 - 480,2
50,500 - 510,1
54,540 - 550,1
55,550 - 560,2
57,570 - 580,2
58,580 - 590,1
60,600 - 610,2
61,610 - 620,1
62,620 - 630,1
63,630 - 640,1
64,640 - 650,6
65,650 - 660,31
66,660 - 670,13
67,670 - 680,2
68,680 - 690,2
70,700 - 710,2
71,710 - 720,2
73,730 - 740,1
74,740 - 750,2
75,750 - 760,3
76,760 - 770,1
77,770 - 780,2
79,790 - 800,4
80,800 - 810,1
81,810 - 820,1
82,820 - 830,1
83,830 - 840,2
84,840 - 850,2
85,850 - 860,1
87,870 - 880,1
89,890 - 900,2
90,900 - 910,1
91,910 - 920,2
92,920 - 930,1
94,940 - 950,1
95,950 - 960,2
96,960 - 970,1
97,970 - 980,3
98,980 - 990,1
99,990 - 1000,1
100,1000 - 1010,3
101,1010 - 1020,4
102,1020 - 1030,2
103,1030 - 1040,1
105,1050 - 1060,2
106,1060 - 1070,1
109,1090 - 1100,2
110,1100 - 1110,1
111,1110 - 1120,3
112,1120 - 1130,2
113,1130 - 1140,5
114,1140 - 1150,5
115,1150 - 1160,6
116,1160 - 1170,7
117,1170 - 1180,4
119,1190 - 1200,3
120,1200 - 1210,3
121,1210 - 1220,5
122,1220 - 1230,3
123,1230 - 1240,11
124,1240 - 1250,24
125,1250 - 1260,65
126,1260 - 1270,27
127,1270 - 1280,5
128,1280 - 1290,1
