,°¡¿­·Î ¹øÈ£,cycle,½ÃÀÛ½Ã°£,Á¾·á½Ã°£,°¡½º»ç¿ë·®,Type,¼ÒÀç list,ÀÛ¾÷ÀÏÀÚ,ÁÖ/¾ß°£,ÆòÀÏ/ÁÖ¸»,in,out,drop_flag,gradient,part_types,temp diff,time diff,°¡¿­¿Ï·á ¿Âµµ,°¡¿­Áß ¸¶Áö¸· ¹®´ÝÈù ½Ã°£,°¡¿­Áß ¹®¿­¸² È½¼ö,»¬½Ã°£,½ÃÀÛ¿Âµµ,½ÇÁ¦ ½ÃÀÛ½Ã°£,¿ø·¡½ÃÀÛÁ¡¿Âµµ,ÀÌÀü Á¾·á½Ã°£,Á¾·á¿Âµµ,ÃÖÁ¾ °¡¿­½ÃÀÛ ¿Âµµ,Æò±Õ¿Âµµ,°ãÄ§¼ö·®,Á÷Àü »çÀÌÅ¬ ¼ÒÀç ¼ö·®,°ãÄ§¿©ºÎ
0,1,0.0,2019-07-01 07:50:00,2019-07-01 08:08:00,30.39999999944121,hold,[],,,,,,0.0,,,,,,,,,1253.3,,,,1256.5,,1250.836842105263,0,0.0,¾È°ãÄ§
1,1,0.0,2019-07-01 08:26:00,2019-07-01 08:46:00,37.0,hold,[],,,,,,0.0,,,,,,,,,1253.3,,,,1273.6,,1267.9761904761906,2,2.0,°ãÄ§
2,1,0.0,2019-07-01 09:00:00,2019-07-01 09:50:00,5.0,hold,[],,,,,,0.0,,,,,,,,,1277.7,,,,1273.8,,1272.7019607843138,2,2.0,°ãÄ§
3,1,0.0,2019-07-01 09:58:00,2019-07-01 10:03:00,0.0,hold,[],,,,,,0.0,,,,,,,,,1280.6,,,,1280.1,,1278.9499999999996,2,2.0,°ãÄ§
4,1,0.0,2019-07-01 10:35:00,2019-07-01 14:58:00,254.39999999944118,hold,[],,,,,,0.0,,,,,,,,,1271.9,,,,1273.0,,1272.9246212121209,2,2.0,°ãÄ§
5,1,0.0,2019-07-01 15:09:00,2019-07-01 15:35:00,36.5,hold,[],,,,,,0.0,,,,,,,,,1272.2,,,,1272.5,,1272.9851851851856,2,2.0,°ãÄ§
6,1,0.0,2019-07-01 15:46:00,2019-07-01 15:56:00,15.0,hold,[],,,,,,0.0,,,,,,,,,1273.4,,,,1273.4,,1273.0454545454545,2,2.0,°ãÄ§
7,1,0.0,2019-07-01 16:07:00,2019-07-01 16:18:00,15.0,hold,[],,,,,,0.0,,,,,,,,,1272.5,,,,1273.4,,1273.2416666666668,2,2.0,°ãÄ§
8,1,0.0,2019-07-01 16:29:00,2019-07-01 20:21:00,309.5,hold,[],,,,,,0.0,,,,,,,,,1272.7,,,,1272.5,,1273.0901287553647,2,2.0,°ãÄ§
9,1,0.0,2019-07-01 20:29:00,2019-07-01 20:44:00,21.700000000186268,hold,[],,,,,,0.0,,,,,,,,,1274.1,,,,1273.4,,1273.06875,2,2.0,°ãÄ§
