,°¡¿­·Î ¹øÈ£,½ÃÀÛ½Ã°£,Á¾·á½Ã°£,°¡½º»ç¿ë·®,Type,¼ÒÀç list,ÀÛ¾÷ÀÏÀÚ,ÁÖ/¾ß°£,in,out,cycle,ÆòÀÏ/ÁÖ¸»,drop_flag,gradient,part_types,temp diff,time diff,°¡½º»ç¿ë·®(¸¶Áö¸· ±¸°£),°¡¿­¿Ï·á ¿Âµµ,°¡¿­Áß ¸¶Áö¸· ¹®´ÝÈù ½Ã°£,°¡¿­Áß ¹®¿­¸² È½¼ö,»¬½Ã°£,½ÃÀÛ¿Âµµ,½ÇÁ¦ ½ÃÀÛ½Ã°£,¿ø·¡½ÃÀÛÁ¡¿Âµµ,ÀÌÀü Á¾·á½Ã°£,Á¾·á¿Âµµ,ÃÖÁ¾ °¡¿­½ÃÀÛ ¿Âµµ,Æò±Õ¿Âµµ,°ãÄ§¼ö·®,Á÷Àü »çÀÌÅ¬ ¼ÒÀç ¼ö·®,°ãÄ§¿©ºÎ
0,5,2019-07-01 08:31:00,2019-07-01 08:34:00,3.399999998509884,open,[''],,,[],[],0.0,,0.0,,,,,,,,,,1271.0,,,,1055.9,,,0,0.0,¾È°ãÄ§
1,5,2019-07-01 08:46:00,2019-07-01 08:56:00,26.699999999254945,open,[''],,,[],[],0.0,,0.0,,,,,,,,,,1284.4,,,,1049.2,,,4,4.0,°ãÄ§
2,5,2019-07-01 09:12:00,2019-07-01 09:17:00,0.0,open,[''],,,[],[],0.0,,0.0,,,,,,,,,,1270.5,,,,1108.6,,,4,4.0,°ãÄ§
3,5,2019-07-01 09:28:00,2019-07-01 09:35:00,0.0,open,[''],,,[],[],0.0,,0.0,,,,,,,,,,1286.3,,,,1076.4,,,4,4.0,°ãÄ§
4,5,2019-07-01 09:52:00,2019-07-01 09:55:00,0.0,open,[''],,,[],[],0.0,,0.0,,,,,,,,,,1271.8,,,,1093.6,,,4,4.0,°ãÄ§
5,5,2019-07-01 10:07:00,2019-07-01 10:11:00,0.0,open,[''],,,[],[],0.0,,0.0,,,,,,,,,,1290.4,,,,1041.2,,,4,4.0,°ãÄ§
6,5,2019-07-01 10:23:00,2019-07-01 10:39:00,0.0,open,[''],,,[],[],0.0,,0.0,,,,,,,,,,1289.2,,,,662.8,,,4,4.0,°ãÄ§
7,5,2019-07-01 11:28:00,2019-07-01 11:35:00,0.0,open,[''],,,[],[],0.0,,0.0,,,,,,,,,,1252.5,,,,848.1,,,4,4.0,°ãÄ§
8,5,2019-07-01 13:00:00,2019-07-01 13:02:00,3.300000000745058,open,[''],,,[],[],0.0,,0.0,,,,,,,,,,1258.4,,,,1030.5,,,4,4.0,°ãÄ§
9,5,2019-07-01 13:26:00,2019-07-01 13:31:00,8.300000000745058,open,[''],,,[],[],0.0,,0.0,,,,,,,,,,1272.0,,,,936.4,,,4,4.0,°ãÄ§
10,5,2019-07-01 13:48:00,2019-07-01 13:56:00,31.40000000037253,open,[''],,,[],[],0.0,,0.0,,,,,,,,,,1288.5,,,,1126.9,,,4,4.0,°ãÄ§
11,5,2019-07-02 02:52:00,2019-07-02 02:56:00,3.400000000372529,open,[''],2019-07-02,ÁÖ°£,[],[],1.0,,0.0,,,,,,,,,,1251.3,,,,902.7,,,4,4.0,°ãÄ§
12,5,2019-07-02 03:01:00,2019-07-02 03:04:00,8.300000000745058,open,[''],2019-07-02,ÁÖ°£,[],[],1.0,,0.0,,,,,,,,,,1148.0,,,,935.3,,,4,4.0,°ãÄ§
13,5,2019-07-02 06:44:00,2019-07-02 06:47:00,3.300000000745058,open,[''],2019-07-02,ÁÖ°£,[],[],1.0,,0.0,,,,,,,,,,1269.7,,,,1102.7,,,4,4.0,°ãÄ§
14,5,2019-07-02 11:35:00,2019-07-02 11:39:00,5.0,open,[''],2019-07-02,ÁÖ°£,[],[],1.0,,0.0,,,,,,,,,,1255.6,,,,966.4,,,4,4.0,°ãÄ§
15,5,2019-07-02 13:18:00,2019-07-02 13:21:00,3.400000000372529,open,[''],2019-07-02,ÁÖ°£,[],[],1.0,,0.0,,,,,,,,,,1254.6,,,,1067.2,,,4,4.0,°ãÄ§
16,5,2019-07-02 13:40:00,2019-07-02 13:42:00,1.699999999254942,open,[''],2019-07-02,ÁÖ°£,[],[],1.0,,0.0,,,,,,,,,,1253.1,,,,1054.8,,,4,4.0,°ãÄ§
17,5,2019-07-02 13:51:00,2019-07-02 13:54:00,9.899999998509882,open,[''],2019-07-02,ÁÖ°£,[],[],1.0,,0.0,,,,,,,,,,1283.2,,,,1042.3,,,4,4.0,°ãÄ§
18,5,2019-07-03 08:51:00,2019-07-03 08:58:00,1.699999999254942,open,[''],2019-07-03,ÁÖ°£,[],[],2.0,,0.0,,,,,,,,,,1279.0,,,,839.1,,,4,4.0,°ãÄ§
19,5,2019-07-03 09:14:00,2019-07-03 09:21:00,14.900000000372527,open,[''],2019-07-03,ÁÖ°£,[],[],2.0,,0.0,,,,,,,,,,1290.3,,,,864.9,,,4,4.0,°ãÄ§
20,5,2019-07-03 09:47:00,2019-07-03 09:52:00,5.0,open,[''],2019-07-03,ÁÖ°£,[],[],2.0,,0.0,,,,,,,,,,1272.0,,,,866.4,,,4,4.0,°ãÄ§
21,5,2019-07-03 10:09:00,2019-07-03 10:21:00,28.40000000037253,open,[''],2019-07-03,ÁÖ°£,[],[],2.0,,0.0,,,,,,,,,,1289.5,,,,865.5,,,4,4.0,°ãÄ§
22,5,2019-07-03 11:13:00,2019-07-03 11:17:00,5.0,open,[''],2019-07-03,ÁÖ°£,[],[],2.0,,0.0,,,,,,,,,,1272.4,,,,899.7,,,4,4.0,°ãÄ§
23,5,2019-07-03 11:26:00,2019-07-03 11:36:00,5.0,open,[''],2019-07-03,ÁÖ°£,[],[],2.0,,0.0,,,,,,,,,,1218.2,,,,724.7,,,4,4.0,°ãÄ§
24,5,2019-07-03 12:56:00,2019-07-03 12:58:00,3.400000000372529,open,[''],2019-07-03,ÁÖ°£,[],[],2.0,,0.0,,,,,,,,,,1271.1,,,,1065.7,,,4,4.0,°ãÄ§
25,5,2019-07-03 13:33:00,2019-07-03 13:37:00,5.0,open,[''],2019-07-03,ÁÖ°£,[],[],2.0,,0.0,,,,,,,,,,1272.3,,,,962.8,,,4,4.0,°ãÄ§
26,5,2019-07-03 19:25:00,2019-07-03 19:36:00,15.0,open,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,,1270.7,,,,762.0,,,4,4.0,°ãÄ§
27,5,2019-07-04 07:52:00,2019-07-04 07:57:00,3.399999998509884,open,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,,1258.3,,,,1018.7,,,4,4.0,°ãÄ§
28,5,2019-07-04 08:45:00,2019-07-04 08:52:00,3.299999998882413,open,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,,1256.2,,,,844.3,,,4,4.0,°ãÄ§
29,5,2019-07-04 09:44:00,2019-07-04 09:50:00,0.0,open,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,,1252.0,,,,862.0,,,4,4.0,°ãÄ§
30,5,2019-07-04 10:20:00,2019-07-04 10:26:00,0.0,open,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,,1272.2,,,,877.1,,,4,4.0,°ãÄ§
31,5,2019-07-04 10:52:00,2019-07-04 10:59:00,6.600000001490116,open,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,,1270.9,,,,829.8,,,4,4.0,°ãÄ§
32,5,2019-07-04 11:26:00,2019-07-04 11:28:00,3.300000000745058,open,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,,1271.2,,,,1044.2,,,4,4.0,°ãÄ§
33,5,2019-07-04 11:34:00,2019-07-04 11:41:00,3.299999998882413,open,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,,1172.4,,,,759.1,,,4,4.0,°ãÄ§
34,5,2019-07-04 12:58:00,2019-07-04 13:04:00,6.599999999627472,open,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,,1270.9,,,,868.5,,,4,4.0,°ãÄ§
35,5,2019-07-04 13:32:00,2019-07-04 13:36:00,8.200000001117589,open,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,,1271.6,,,,993.2,,,4,4.0,°ãÄ§
36,5,2019-07-05 03:16:00,2019-07-05 03:20:00,13.400000000372527,open,[''],2019-07-05,ÁÖ°£,[],[],4.0,,0.0,,,,,,,,,,1251.4,,,,995.8,,,4,4.0,°ãÄ§
37,5,2019-07-05 03:48:00,2019-07-05 03:52:00,11.599999999627473,open,[''],2019-07-05,ÁÖ°£,[],[],4.0,,0.0,,,,,,,,,,1252.0,,,,1023.4,,,4,4.0,°ãÄ§
38,5,2019-07-05 04:12:00,2019-07-05 04:16:00,15.0,open,[''],2019-07-05,ÁÖ°£,[],[],4.0,,0.0,,,,,,,,,,1253.9,,,,998.4,,,4,4.0,°ãÄ§
39,5,2019-07-05 04:29:00,2019-07-05 04:35:00,15.0,open,[''],2019-07-05,ÁÖ°£,[],[],4.0,,0.0,,,,,,,,,,1253.1,,,,968.4,,,4,4.0,°ãÄ§
40,5,2019-07-05 09:08:00,2019-07-05 09:12:00,6.699999999254942,open,[''],2019-07-05,ÁÖ°£,[],[],4.0,,0.0,,,,,,,,,,1270.9,,,,1070.3,,,4,4.0,°ãÄ§
41,5,2019-07-05 09:46:00,2019-07-05 09:49:00,5.0,open,[''],2019-07-05,ÁÖ°£,[],[],4.0,,0.0,,,,,,,,,,1271.5,,,,1058.5,,,4,4.0,°ãÄ§
42,5,2019-07-05 10:19:00,2019-07-05 10:24:00,8.299999998882411,open,[''],2019-07-05,ÁÖ°£,[],[],4.0,,0.0,,,,,,,,,,1271.3,,,,982.3,,,4,4.0,°ãÄ§
43,5,2019-07-05 10:51:00,2019-07-05 10:56:00,6.600000001490116,open,[''],2019-07-05,ÁÖ°£,[],[],4.0,,0.0,,,,,,,,,,1271.1,,,,962.5,,,4,4.0,°ãÄ§
44,5,2019-07-09 20:18:00,2019-07-09 20:21:00,5.099999999627472,open,[''],2019-07-09,¾ß°£,[],[],5.0,,0.0,,,,,,,,,,1272.9,,,,1044.3,,,4,4.0,°ãÄ§
