,Type,cycle,drop_flag,in,out,가스사용량,가스사용량(마지막),가스사용량(총),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
0,heat,0.0,1,[],[],,3534.7000000011176,3534.7000000011176,2,1254.6,0,0.0,1.0,[''],2019-07-04 22:00:00,151.3,2019-07-04 22:05:00,283.2,0,,2019-07-05 05:13:00,,,0.0,,
1,hold,,0,[],[],4530.599999999628,,,2,,,,,,2019-07-05 05:13:00,,,,,,2019-07-06 03:27:00,,,,1260.1833707865171,
2,open,,0,[],[],3.299999998882413,,,2,,,,,,2019-07-06 03:27:00,1273.4,,,,,2019-07-06 03:30:00,1009.8,,,,
3,reheat,,0,[],[],35.300000000745065,,,2,,,,0.0,,2019-07-06 03:30:00,1009.8,,,,,2019-07-06 03:39:00,,,,,
4,hold,,0,[],[],23.5,,,2,,,,,,2019-07-06 03:39:00,,,,,,2019-07-06 03:45:00,,,,1290.0857142857142,
5,open,,0,[],[],6.800000000745058,,,2,,,,,,2019-07-06 03:45:00,1291.0,,,,,2019-07-06 03:48:00,1075.7,,,,
6,reheat,,0,[],[],33.5,,,2,,,,0.0,,2019-07-06 03:48:00,1075.7,,,,,2019-07-06 03:57:00,,,,,
7,hold,,0,[],[],18.5,,,2,,,,,,2019-07-06 03:57:00,,,,,,2019-07-06 04:03:00,,,,1280.2571428571428,
8,open,,0,[],[],8.399999998509884,,,2,,,,,,2019-07-06 04:03:00,1274.7,,,,,2019-07-06 04:08:00,1012.4,,,,
9,reheat,,0,[],[],53.700000001117594,,,2,,,,1.0,,2019-07-06 04:08:00,1012.4,,,,,2019-07-06 04:21:00,,,,,
10,hold,,0,[],[],13.400000000372527,,,2,,,,,,2019-07-06 04:21:00,,,,,,2019-07-06 04:25:00,,,,1286.28,
11,open,,0,[],[],8.5,,,2,,,,,,2019-07-06 04:25:00,1291.5,,,,,2019-07-06 04:30:00,1053.0,,,,
12,reheat,,0,[],[],33.5,,,2,,,,0.0,,2019-07-06 04:30:00,1053.0,,,,,2019-07-06 04:39:00,,,,,
13,hold,,0,[],[],21.899999998509887,,,2,,,,,,2019-07-06 04:39:00,,,,,,2019-07-06 04:45:00,,,,1282.4714285714285,
14,open,,0,[],[],5.0,,,2,,,,,,2019-07-06 04:45:00,1279.8,,,,,2019-07-06 04:50:00,992.0,,,,
15,reheat,,0,[],[],48.600000001490116,,,2,,,,0.0,,2019-07-06 04:50:00,992.0,,,,,2019-07-06 05:01:00,,,,,
16,hold,,0,[],[],124.29999999888241,,,2,,,,,,2019-07-06 05:01:00,,,,,,2019-07-06 05:39:00,,,,1251.3025641025642,
17,open,,0,[],[],6.700000001117588,,,2,,,,,,2019-07-06 05:39:00,1293.9,,,,,2019-07-06 05:45:00,861.7,,,,
18,reheat,,0,[],[],47.0,,,2,,,,1.0,,2019-07-06 05:45:00,861.7,,,,,2019-07-06 05:56:00,,,,,
19,hold,,0,[],[],6.699999999254942,,,2,,,,,,2019-07-06 05:56:00,,,,,,2019-07-06 05:57:00,,,,1286.4,
20,open,,0,[],[],20.099999999627467,,,2,,,,,,2019-07-06 05:57:00,1292.4,,,,,2019-07-06 06:04:00,928.6,,,,
