,에너지,시간(총),시간(0제외),시작온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감여부,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,971.5,4440,4320,847.6,1,17000,17000,3,78850,27500,0,0,0,0,0,0,0,0,0,0,0,0,4,95850,27500,0,0,0,1,17000,17000,3,78850,27500,1320,0,누락없음,19,2019-09-26,주간,2019-09-25 18:38,수,겹침,0,7,1,AC,평일,0
1,2612.1,14220,13980,615.0,1,17000,17000,5,67130,19300,0,0,0,0,0,0,0,0,0,0,0,0,6,84130,19300,0,0,0,1,17000,17000,5,67130,19300,7740,0,누락없음,20,2019-09-27,주간,2019-09-26 18:59,목,안겹침,0,3,0,AC,평일,0
2,7999.8,117180,99660,309.6,0,0,0,2,31300,15650,3,141900,59000,0,0,0,0,0,0,0,0,0,5,173200,59000,0,0,0,3,141900,59000,2,31300,15650,56580,0,누락없음,20,2019-10-07,주간,2019-10-05 6:59,토,안겹침,0,5,0,CS,주말,0
3,5092.9,92820,72420,297.5,0,0,0,5,71340,23800,2,23270,12200,0,0,0,0,0,0,0,0,0,8,115460,23800,0,0,0,1,20850,20850,7,94610,23800,81480,0,강종누락,17,2019-10-07,야간,2019-10-06 4:29,일,안겹침,0,4,0,CS,주말,0
4,3310.9,30000,29400,437.8,0,0,0,2,105000,64000,1,59000,59000,0,0,0,0,0,0,0,0,0,3,164000,64000,0,0,0,1,59000,59000,2,105000,64000,147300,0,누락없음,19,2019-10-14,주간,2019-10-13 15:53,일,겹침,0,10,1,CS,주말,0
5,3364.7,25080,24720,644.1,0,0,0,2,202195,130110,0,0,0,0,0,0,0,0,0,0,0,0,2,202195,130110,0,0,0,1,130110,130110,1,72085,72085,32160,0,누락없음,19,2019-10-21,주간,2019-10-19 4:56,토,겹침,0,2,2,C,주말,0
6,1580.7,18840,17760,794.2,0,0,0,1,180000,180000,0,0,0,0,0,0,0,0,0,0,0,0,1,180000,180000,0,0,0,1,180000,180000,0,0,0,24360,0,누락없음,19,2019-10-28,야간,2019-10-25 20:51,금,안겹침,0,5,0,C,평일,0
7,4211.2,30360,30060,540.6,1,20100,20100,7,131190,58500,0,0,0,0,0,0,0,0,0,0,0,0,8,151290,58500,0,0,0,2,78600,58500,6,72690,21100,108060,0,누락없음,19,2019-11-04,주간,2019-11-03 8:41,일,안겹침,0,7,0,AC,주말,0
8,5056.5,116340,82860,292.8,0,0,0,0,0,0,7,114870,25000,0,0,0,0,0,0,0,0,0,7,114870,25000,0,0,0,1,25000,25000,6,89870,16700,56460,0,누락없음,17,2019-11-04,주간,2019-11-02 6:43,토,안겹침,0,4,0,S,주말,0
9,3919.1,31080,30060,424.5,0,0,0,0,0,0,8,204500,26600,0,0,0,0,0,0,0,0,0,8,204500,26600,0,0,0,5,126500,26100,3,78000,26600,49980,0,누락없음,19,2019-11-07,주간,2019-11-06 9:00,수,안겹침,0,7,0,S,평일,0
