,에너지,시간(총),시간(0제외),시작온도,종료온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,815.6,35160.0,22380.0,657.6,668.1,2,23400.0,11700,8,69000.0,11970,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,10,92400,11970,0,0.0,0,2,23400.0,11700,8,69000.0,11970,64980.0,0,누락없음,2,2019-09-23,주간,2019-09-21 23:15:00,토,,이상없음,,,AC,주말,0
1,1624.4,88320.0,52260.0,667.6,666.6,0,0.0,0,8,59690.0,7620,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,9,69290,9600,0,0.0,0,1,9600.0,9600,8,59690.0,7620,20880.0,0,강종누락,2,2019-09-30,주간,2019-09-28 07:54:00,토,,이상없음,,,C,주말,0
2,1047.9,31620.0,27660.0,667.7,669.4,1,15350.0,15350,4,24980.0,6500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,40330,15350,0,0.0,0,1,15350.0,15350,4,24980.0,6500,131700.0,0,누락없음,3,2019-10-07,야간,2019-10-06 11:45:00,일,,이상없음,,,AC,주말,0
3,938.1,42660.0,28440.0,637.7,664.1,1,15350.0,15350,4,48960.0,12380,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,64310,15350,0,0.0,0,1,15350.0,15350,4,48960.0,12380,98580.0,0,누락없음,2,2019-10-07,주간,2019-10-05 22:42:00,토,,이상없음,,,AC,주말,0
4,1886.1,57180.0,43980.0,662.9,645.9,1,15350.0,15350,4,30200.0,7550,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,45550,15350,0,0.0,0,1,15350.0,15350,4,30200.0,7550,98760.0,0,누락없음,3,2019-11-04,야간,2019-11-03 03:05:00,일,,이상없음,,,AC,주말,0
5,1105.4,44400.0,36360.0,577.0,578.8,5,53590.0,12390,2,26720.0,13360,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,80310,13360,0,0.0,0,5,53590.0,12390,2,26720.0,13360,90000.0,0,누락없음,2,2019-11-04,주간,2019-11-02 22:22:00,토,,이상없음,,,AC,주말,0
6,1185.1,42360.0,31500.0,646.9,653.2,1,8900.0,8900,8,68090.0,9410,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,9,76990,9410,0,0.0,0,1,8900.0,8900,8,68090.0,9410,86640.0,0,누락없음,2,2019-11-18,주간,2019-11-16 22:38:00,토,,이상없음,,,AC,주말,0
7,852.2,24720.0,21480.0,668.5,673.9,8,76432.0,9554,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,76432,9554,0,0.0,0,8,76432.0,9554,0,0.0,0,113280.0,0,누락없음,3,2019-11-18,주간,2019-11-17 02:30:00,일,,이상없음,,,A,주말,0
8,1002.4,25740.0,24300.0,668.8,668.5,0,0.0,0,10,82600.0,9940,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,12,98400,9940,0,0.0,0,2,15800.0,7900,10,82600.0,9940,122580.0,0,강종누락,3,2019-12-02,주간,2019-12-01 08:11:00,일,,이상없음,,,C,주말,0
9,1422.6,42660.0,33840.0,653.4,644.6,0,0.0,0,10,76800.0,9970,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,11,81800,9970,0,0.0,0,1,5000.0,5000,10,76800.0,9970,83820.0,0,강종누락,2,2019-12-16,주간,2019-12-14 22:28:00,토,,이상없음,,,C,주말,0
