,에너지,시간(총),시간(0제외),시작온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감여부,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,2666.1,19680,19560,284.2,7,68859,9837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,68859,9837,0,0,0,7,68859,9837,0,0,0,1688100,0,누락없음,5,2019-08-07,야간,2019-08-06 23:46,화,안겹침,0,6,0,A,평일,0
1,786.9,4860,4800,742.2,0,0,0,2,27600,13800,0,0,0,0,0,0,0,0,0,0,0,0,3,32600,13800,0,0,0,2,27600,13800,1,5000,5000,14820,0,강종누락,4,2019-08-08,야간,2019-08-08 2:53,목,안겹침,0,7,0,C,평일,0
2,1947.0,15360,14940,603.5,1,9200,9200,4,24920,6320,0,0,0,0,0,0,0,0,0,0,0,0,5,34120,9200,0,0,0,1,9200,9200,4,24920,6320,5040,0,누락없음,5,2019-08-15,주간,2019-08-14 14:49,수,안겹침,0,3,0,AC,평일,0
3,415.5,2640,2580,817.2,0,0,0,5,38900,10700,0,0,0,0,0,0,0,0,0,0,0,0,7,74350,19600,0,0,0,7,74350,19600,0,0,0,8460,0,강종누락,4,2019-08-22,주간,2019-08-21 17:17,수,안겹침,0,8,0,C,평일,0
4,1098.4,6420,6360,864.4,0,0,0,7,96150,22100,0,0,0,0,0,0,0,0,0,0,0,0,7,96150,22100,0,0,0,2,28470,22100,5,67680,15190,2040,0,누락없음,4,2019-08-23,주간,2019-08-22 18:41,목,안겹침,0,7,0,C,평일,0
5,3966.1,127320,67020,319.0,0,0,0,2,30700,22100,0,0,0,0,0,0,0,0,0,0,0,0,2,30700,22100,0,0,0,1,22100,22100,1,8600,8600,42540,0,누락없음,5,2019-08-26,주간,2019-08-24 8:33,토,안겹침,0,3,0,C,주말,0
6,486.2,4860,4800,745.8,6,96600,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,96600,16100,0,0,0,6,96600,16100,0,0,0,9660,0,누락없음,5,2019-08-27,주간,2019-08-26 13:26,월,안겹침,0,2,0,A,평일,0
7,390.9,2520,2460,792.7,6,77530,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,77530,16100,0,0,0,6,77530,16100,0,0,0,6000,0,누락없음,4,2019-08-28,야간,2019-08-28 3:59,수,안겹침,0,9,0,A,평일,0
8,1069.8,6180,6120,749.2,1,8520,8520,9,52380,5820,0,0,0,0,0,0,0,0,0,0,0,0,10,60900,8520,0,0,0,1,8520,8520,9,52380,5820,2040,0,누락없음,4,2019-08-30,야간,2019-08-30 4:48,금,안겹침,0,10,0,AC,평일,0
9,4690.7,41760,41220,158.2,4,24710,6940,3,16970,5790,0,0,0,0,0,0,0,0,0,0,0,0,7,41680,6940,0,0,0,4,24710,6940,3,16970,5790,310260,0,누락없음,5,2019-09-04,주간,2019-09-03 8:34,화,안겹침,0,6,0,AC,평일,0
10,919.2,5460,5400,760.1,3,35930,14270,2,18340,9210,0,0,0,0,0,0,0,0,0,0,0,0,5,54270,14270,0,0,0,5,54270,14270,0,0,0,1260,0,누락없음,4,2019-09-05,야간,2019-09-05 5:37,목,안겹침,0,6,0,AC,평일,0
11,643.3,3840,3780,779.9,6,50470,14270,1,7200,7200,0,0,0,0,0,0,0,0,0,0,0,0,7,57670,14270,0,0,0,7,57670,14270,0,0,0,4020,0,누락없음,4,2019-09-06,야간,2019-09-06 3:35,금,안겹침,0,5,0,AC,평일,0
12,2966.6,28620,28440,668.6,1,14270,14270,6,62407,12750,0,0,0,0,0,0,0,0,0,0,0,0,7,76677,14270,0,0,0,3,32637,14270,4,44040,11010,1740,0,누락없음,5,2019-09-07,주간,2019-09-06 15:39,금,안겹침,0,6,0,AC,평일,0
13,698.2,6540,6420,830.6,0,0,0,4,34640,12750,0,0,0,0,0,0,0,0,0,0,0,0,4,34640,12750,0,0,0,1,12750,12750,3,21890,8420,720,0,누락없음,5,2019-09-08,주간,2019-09-07 18:41,토,겹침,0,7,1,C,주말,0
14,1100.5,10920,10860,779.4,0,0,0,4,30720,10530,0,0,0,0,0,0,0,0,0,0,0,0,4,30720,10530,0,0,0,1,10530,10530,3,20190,6730,660,0,누락없음,5,2019-09-10,주간,2019-09-09 18:51,월,안겹침,0,8,0,C,주말,0
15,464.1,4800,4560,745.1,1,10300,10300,4,24360,6090,0,0,0,0,0,0,0,0,0,0,0,0,6,54760,20100,0,0,0,2,30400,20100,4,24360,6090,2220,0,강종누락,5,2019-09-11,주간,2019-09-10 14:05,화,안겹침,0,4,0,AC,평일,0
16,3915.4,35880,35580,517.2,2,22320,11160,6,57450,11970,0,0,0,0,0,0,0,0,0,0,0,0,8,79770,11970,0,0,0,2,22320,11160,6,57450,11970,14880,0,누락없음,5,2019-09-17,야간,2019-09-17 2:41,화,안겹침,0,8,0,AC,평일,0
17,2421.6,22200,22020,478.5,6,81144,13524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,81144,13524,0,0,0,6,81144,13524,0,0,0,12360,0,누락없음,5,2019-09-19,야간,2019-09-19 6:00,목,겹침,0,8,6,A,평일,0
18,2136.7,19920,19740,679.9,6,81144,13524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,81144,13524,0,0,0,6,81144,13524,0,0,0,3900,0,누락없음,5,2019-09-20,야간,2019-09-20 5:53,금,안겹침,0,6,0,A,평일,0
19,4854.5,90960,73560,467.3,8,78696,9837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,78696,9837,0,0,0,8,78696,9837,0,0,0,88200,0,누락없음,5,2019-09-23,주간,2019-09-21 22:29,토,안겹침,0,6,0,A,주말,0
20,5145.2,103020,95220,408.0,0,0,0,0,0,0,3,51300,17600,0,0,0,0,0,0,0,0,0,3,51300,17600,0,0,0,3,51300,17600,0,0,0,137100,0,누락없음,4,2019-09-23,야간,2019-09-22 3:07,일,안겹침,0,5,0,S,주말,0
21,3385.2,34080,33660,525.7,6,80880,13480,0,0,0,2,20700,10350,0,0,0,0,0,0,0,0,0,8,101580,13480,0,0,0,6,80880,13480,2,20700,10350,5640,0,누락없음,6,2019-09-26,야간,2019-09-26 7:02,목,안겹침,0,5,0,AS,평일,0
22,953.6,5460,5340,756.0,0,0,0,8,53840,6730,3,25680,8560,0,0,0,0,0,0,0,0,0,11,79520,8560,0,0,0,3,25680,8560,8,53840,6730,1500,0,누락없음,4,2019-09-27,야간,2019-09-27 5:43,금,안겹침,0,7,0,CS,평일,0
23,3725.3,126240,67560,611.8,0,0,0,7,46500,15930,0,0,0,0,0,0,0,0,0,0,0,0,7,46500,15930,0,0,0,4,34840,15930,3,11660,4100,2400,0,누락없음,5,2019-09-30,주간,2019-09-28 7:35,토,안겹침,0,8,0,C,주말,0
24,1952.6,18060,17880,632.1,0,0,0,0,0,0,2,13620,7010,0,0,0,0,0,0,0,0,0,4,56970,25000,0,0,0,3,50360,25000,1,6610,6610,1800,0,강종누락,5,2019-10-01,주간,2019-09-30 19:44,월,안겹침,0,7,0,S,평일,0
25,1935.9,18180,17700,635.7,7,94360,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,94360,13480,0,0,0,7,94360,13480,0,0,0,1560,0,누락없음,5,2019-10-02,주간,2019-10-01 18:43,화,안겹침,0,4,0,A,평일,0
26,2559.9,17460,17220,569.3,7,94360,13480,2,32370,16185,0,0,0,0,0,0,0,0,0,0,0,0,9,126730,16185,0,0,0,7,94360,13480,2,32370,16185,1860,0,누락없음,6,2019-10-02,야간,2019-10-02 5:50,수,안겹침,0,5,0,AC,평일,0
27,2478.5,22560,22500,625.9,7,94360,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,94360,13480,0,0,0,7,94360,13480,0,0,0,14040,0,누락없음,5,2019-10-04,주간,2019-10-03 17:25,목,안겹침,0,7,0,A,평일,0
28,1591.9,14820,14520,785.6,0,0,0,5,34450,6890,1,11150,11150,0,0,0,0,0,0,0,0,0,6,45600,11150,0,0,0,1,11150,11150,5,34450,6890,1140,0,누락없음,5,2019-10-09,주간,2019-10-08 18:53,화,안겹침,0,8,0,CS,평일,0
29,2541.2,23340,23280,765.3,4,33470,12410,1,10700,10700,0,0,0,0,0,0,0,0,0,0,0,0,5,44170,12410,0,0,0,5,44170,12410,0,0,0,1440,0,중량누락,5,2019-10-10,주간,2019-10-09 19:02,수,안겹침,0,6,0,AC,평일,0
30,2843.3,25020,24420,500.3,0,0,0,2,13740,6870,0,0,0,0,0,0,0,0,0,0,0,0,5,62290,16850,0,0,0,3,48550,16850,2,13740,6870,6540,0,강종누락,5,2019-10-11,주간,2019-10-10 19:44,목,안겹침,0,5,0,C,평일,0
31,4869.2,131820,88800,478.0,6,80880,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,80880,13480,0,0,0,6,80880,13480,0,0,0,46020,0,누락없음,5,2019-10-14,주간,2019-10-12 8:01,토,안겹침,0,5,0,A,주말,0
32,1963.2,16740,16260,595.8,7,94360,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,94360,13480,0,0,0,7,94360,13480,0,0,0,3120,0,누락없음,5,2019-10-17,주간,2019-10-16 18:51,수,안겹침,0,4,0,A,평일,0
33,2611.4,23760,23700,635.1,7,94360,13480,2,13140,6570,0,0,0,0,0,0,0,0,0,0,0,0,9,107500,13480,0,0,0,9,107500,13480,0,0,0,1800,0,누락없음,5,2019-10-18,주간,2019-10-17 19:33,목,안겹침,0,7,0,AC,평일,0
34,688.0,6060,5820,641.2,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,103950,14850,0,0,0,7,103950,14850,0,0,0,281100,0,누락없음,5,2019-10-22,야간,2019-10-22 0:59,화,안겹침,0,9,0,A,평일,0
35,95.3,1080,1020,1000.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,58800,19600,0,0,0,3,58800,19600,0,0,0,240,0,강종누락,5,2019-10-24,야간,2019-10-24 2:27,목,안겹침,0,7,0,,평일,0
36,3955.3,130860,105180,548.9,8,76432,9554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,76432,9554,0,0,0,8,76432,9554,0,0,0,61200,0,누락없음,4,2019-10-28,주간,2019-10-26 7:13,토,겹침,0,8,8,A,주말,0
37,611.3,3600,3420,678.5,8,102300,13480,0,0,0,1,5330,5330,0,0,0,0,0,0,0,0,0,9,107630,13480,0,0,0,9,107630,13480,0,0,0,12840,0,누락없음,4,2019-10-30,주간,2019-10-29 20:07,화,겹침,0,10,1,AS,평일,0
38,977.7,5820,5760,767.8,6,80880,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,80880,13480,0,0,0,6,80880,13480,0,0,0,1200,0,누락없음,4,2019-10-31,주간,2019-10-30 19:21,수,안겹침,0,9,0,A,평일,0
39,137.2,2100,2040,1003.1,8,88800,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88800,11100,0,0,0,8,88800,11100,0,0,0,300,0,누락없음,5,2019-10-31,주간,2019-10-30 14:19,수,안겹침,0,6,0,A,평일,0
40,807.9,4860,4800,757.4,8,76432,9554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,76432,9554,0,0,0,8,76432,9554,0,0,0,1140,0,누락없음,4,2019-11-01,주간,2019-10-31 19:29,목,안겹침,0,6,0,A,평일,0
41,2371.0,32280,32040,652.4,2,30700,15350,2,26720,13360,0,0,0,0,0,0,0,0,0,0,0,0,5,76770,19350,0,0,0,5,76770,19350,0,0,0,152340,0,강종누락,4,2019-11-04,주간,2019-11-03 10:08,일,안겹침,0,8,0,AC,주말,0
42,132.9,1020,960,952.4,6,89100,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,89100,14850,0,0,0,6,89100,14850,0,0,0,15360,0,누락없음,4,2019-11-06,주간,2019-11-05 14:05,화,안겹침,0,4,0,A,평일,0
43,2224.9,20160,19800,663.7,6,80880,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,89907,13480,0,0,0,7,89907,13480,0,0,0,1380,0,강종누락,5,2019-11-07,주간,2019-11-06 18:48,수,안겹침,0,7,0,A,평일,0
44,1102.3,6240,5640,729.4,8,88800,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88800,11100,0,0,0,8,88800,11100,0,0,0,19680,0,누락없음,4,2019-11-07,주간,2019-11-06 19:19,수,안겹침,0,6,0,A,평일,0
45,4479.9,122460,92400,469.3,3,31730,12390,6,42840,7140,0,0,0,0,0,0,0,0,0,0,0,0,9,74570,12390,0,0,0,3,31730,12390,6,42840,7140,65940,0,누락없음,4,2019-11-11,주간,2019-11-09 7:23,토,안겹침,0,8,0,AC,주말,0
46,4176.9,122880,86400,362.3,0,0,0,5,31990,7550,0,0,0,0,0,0,0,0,0,0,0,0,5,31990,7550,0,0,0,4,24440,6770,1,7550,7550,50940,0,누락없음,5,2019-11-11,주간,2019-11-09 7:18,토,안겹침,0,8,0,C,주말,0
47,559.0,4740,4680,751.5,7,94360,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,94360,13480,0,0,0,7,94360,13480,0,0,0,660,0,누락없음,6,2019-11-13,야간,2019-11-13 6:07,수,안겹침,0,8,0,A,평일,0
48,2615.8,23460,23100,653.0,7,94360,13480,1,10474,10474,0,0,0,0,0,0,0,0,0,0,0,0,8,104834,13480,0,0,0,7,94360,13480,1,10474,10474,1740,0,누락없음,5,2019-11-13,주간,2019-11-12 19:31,화,안겹침,0,7,0,AC,평일,0
