,에너지,시간(총),시간(0제외),시작온도,종료온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,686.0,20940.0,-18420.0,655.2,650.0,0,0.0,0,10,82860.0,12310,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,10,82860,12310,0,0.0,0,0,0.0,0,10,82860.0,12310,122460.0,0,누락없음,4,2019-08-26,야간,2019-08-25 01:38:00,일,,이상없음,,,C,주말,0
1,606.6,20940.0,16980.0,660.4,649.1,0,0.0,0,7,75090.0,12310,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,75090,12310,0,0.0,0,0,0.0,0,7,75090.0,12310,83640.0,0,누락없음,2,2019-08-26,주간,2019-08-25 03:38:00,일,,이상없음,,,C,주말,0
2,861.1,28680.0,20880.0,636.4,650.5,0,0.0,0,0,0.0,0,3,51300.0,17600,0,0.0,0,0,0.0,0,0,0.0,0,3,51300,17600,0,0.0,0,0,0.0,0,3,51300.0,17600,167700.0,0,누락없음,4,2019-09-23,야간,2019-09-22 11:37:00,일,,이상없음,,,S,주말,0
3,904.3,24420.0,19380.0,660.9,650.8,0,0.0,0,2,13460.0,6730,3,24730.0,10100,0,0.0,0,0,0.0,0,0,0.0,0,5,38190,10100,0,0.0,0,0,0.0,0,5,38190.0,10100,162780.0,0,누락없음,3,2019-09-23,야간,2019-09-22 15:41:00,일,,이상없음,,,CS,주말,0
4,1011.3,82860.0,24180.0,665.6,661.7,0,0.0,0,7,46500.0,15930,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,46500,15930,0,0.0,0,0,0.0,0,7,46500.0,15930,9060.0,0,누락없음,5,2019-09-30,주간,2019-09-28 09:26:00,토,,이상없음,,,C,주말,0
5,675.8,20940.0,-21300.0,648.7,643.9,0,0.0,0,9,53980.0,9020,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,9,53980,9020,0,0.0,0,0,0.0,0,9,53980.0,9020,145020.0,0,중량누락,5,2019-10-07,주간,2019-10-06 03:28:00,일,,이상없음,,,C,주말,0
6,335.2,44820.0,2580.0,356.3,348.9,0,0.0,0,9,53980.0,9020,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,9,53980,9020,0,0.0,0,0,0.0,0,9,53980.0,9020,78180.0,0,중량누락,5,2019-10-07,주간,2019-10-05 08:54:00,토,,이상없음,,,C,주말,0
7,2423.9,87960.0,63180.0,647.2,668.6,0,0.0,0,12,88440.0,8580,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,12,88440,8580,0,0.0,0,0,0.0,0,12,88440.0,8580,62160.0,0,누락없음,2,2019-10-14,주간,2019-10-12 08:29:00,토,,이상없음,,,C,주말,0
8,3442.0,130860.0,105360.0,663.0,649.1,0,0.0,0,8,72160.0,9020,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,72160,9020,0,0.0,0,0,0.0,0,8,72160.0,9020,24900.0,0,누락없음,3,2019-10-14,야간,2019-10-12 08:26:00,토,,이상없음,,,C,주말,0
9,1880.5,87960.0,51480.0,664.1,659.6,0,0.0,0,5,31990.0,7550,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,31990,7550,0,0.0,0,0,0.0,0,5,31990.0,7550,52320.0,0,누락없음,5,2019-11-11,주간,2019-11-09 07:41:00,토,,이상없음,,,C,주말,0
