,에너지,시간(총),시간(0제외),시작온도,종료온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,971.5,4440.0,4320.0,847.6,1249.1,1,17000.0,17000,3,78850.0,27500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,95850.0,27500,0,0.0,0,1,17000.0,17000,3,78850.0,27500,1320.0,0,누락없음,19,2019-09-26,주간,2019-09-25 18:38:00,수,겹침,이상없음,7.0,1,AC,평일,0
1,2612.100000000035,14220.0,13980.0,615.0,1254.4,1,17000.0,17000,5,67130.0,19300,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,6,84130.0,19300,0,0.0,0,1,17000.0,17000,5,67130.0,19300,7740.0,0,누락없음,20,2019-09-27,주간,2019-09-26 18:59:00,목,안겹침,이상없음,3.0,0,AC,평일,0
2,515.5,3660.0,3600.0,937.8,1252.1,0,0.0,0,2,34200.0,17900,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,34200.0,17900,0,0.0,0,0,0.0,0,2,34200.0,17900,780.0,0,누락없음,20,2019-09-27,야간,2019-09-27 18:45:00,금,안겹침,이상없음,6.0,0,C,평일,0
3,4448.599999999977,32460.0,32160.0,356.2,1252.9,0,0.0,0,5,148180.0,48000,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,148180.0,48000,0,0.0,0,0,0.0,0,5,148180.0,48000,130260.0,0,누락없음,19,2019-09-30,주간,2019-09-29 06:05:00,일,안겹침,이상없음,4.0,0,C,주말,0
4,2429.0,30360.0,10560.0,364.3,780.5,0,0.0,0,4,151150.0,48000,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,151150.0,48000,0,0.0,0,0,0.0,0,4,151150.0,48000,127380.0,0,누락없음,17,2019-09-30,주간,2019-09-29 03:51:00,일,겹침,이상없음,4.0,4,C,주말,0
5,6586.6999999999525,48360.0,21240.0,346.4,1243.8,0,0.0,0,9,124050.0,20900,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,9,124050.0,20900,0,0.0,0,0,0.0,0,9,124050.0,20900,148140.0,0,누락없음,20,2019-09-30,야간,2019-09-29 20:56:00,일,안겹침,이상없음,2.0,0,C,주말,0
6,1706.8999999999942,7800.0,-12000.0,796.0,1214.9,0,0.0,0,4,151150.0,48000,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,151150.0,48000,0,0.0,0,0,0.0,0,4,151150.0,48000,162060.0,0,누락없음,17,2019-09-30,주간,2019-09-29 13:29:00,일,겹침,이상없음,4.0,4,C,주말,0
7,5079.0,91740.0,71340.0,302.1,1208.9,0,0.0,0,5,71340.0,23800,2,23270.0,12200,0,0.0,0,0,0.0,0,0,0.0,0,8,115460.0,23800,0,0.0,0,1,20850.0,20850,7,94610.0,23800,82560.0,0,강종누락,17,2019-10-07,야간,2019-10-06 04:47:00,일,안겹침,이상없음,4.0,0,CS,주말,0
8,7999.7999999999865,117180.0,99660.0,309.6,1185.4,0,0.0,0,2,31300.0,15650,3,141900.0,59000,0,0.0,0,0,0.0,0,0,0.0,0,5,173200.0,59000,0,0.0,0,3,141900.0,59000,2,31300.0,15650,56580.0,0,누락없음,20,2019-10-07,주간,2019-10-05 06:59:00,토,안겹침,이상없음,5.0,0,CS,주말,0
9,3464.700000000012,32280.0,31020.0,359.9,1200.7,0,0.0,0,5,96170.0,32500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,146370.0,32500,0,0.0,0,0,0.0,0,7,146370.0,32500,130080.0,0,강종누락,18,2019-10-07,주간,2019-10-06 13:05:00,일,안겹침,이상없음,1.0,0,C,주말,0
