,가열로번호,에너지,시작시간,종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,cycle,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,민감비고,에러발생
0,1,1453.8999999994412,2019-08-03 14:33:00,2019-08-03 18:12:00,13140.0,1260.8,1255.4,1,8050.0,8050,SUS,0,0,1,13.0,0,0.0,0,1,8050.0,8050,이상없음,0
1,1,187.10000000055882,2019-08-03 19:19:00,2019-08-03 21:29:00,7800.0,1256.1,1257.1,1,8050.0,8050,SUS,0,0,1,13.0,0,0.0,0,1,8050.0,8050,이상없음,0
2,1,440.7000000001863,2019-08-13 11:00:00,2019-08-13 15:52:00,17520.0,1276.1,1282.0,6,38580.0,6470,CARBON,0,1,0,19.0,0,0.0,0,6,38580.0,6470,이상없음,0
3,1,569.5,2019-08-15 11:09:00,2019-08-15 17:57:00,24480.0,1255.3,1277.4,3,19410.0,6470,CARBON,0,1,0,21.0,0,0.0,0,3,19410.0,6470,이상없음,0
4,1,1188.7000000001865,2019-08-15 22:35:00,2019-08-16 09:30:00,39300.0,1232.3,1235.8,3,19410.0,6470,CARBON,0,1,0,21.0,0,0.0,0,3,19410.0,6470,이상없음,0
5,1,710.5999999996277,2019-08-21 09:18:00,2019-08-21 18:02:00,31440.0,1275.1,1276.4,2,16140.0,8650,CARBON,0,1,0,26.0,0,0.0,0,2,16140.0,8650,이상없음,0
6,1,284.40000000037253,2019-08-23 10:36:00,2019-08-23 13:53:00,11820.0,1255.3,1256.6,2,18860.0,9430,SUS,0,0,1,28.0,0,0.0,0,2,18860.0,9430,이상없음,0
7,1,150.29999999981374,2019-08-23 14:31:00,2019-08-23 16:13:00,6120.0,1256.2,1260.3,2,18860.0,9430,SUS,0,0,1,28.0,0,0.0,0,2,18860.0,9430,이상없음,0
8,1,306.2000000001862,2019-08-26 23:08:00,2019-08-27 02:24:00,11760.0,1280.4,1279.9,1,23100.0,23100,SUS,0,0,1,30.0,0,0.0,0,1,23100.0,23100,이상없음,0
9,1,134.1000000005588,2019-08-27 04:19:00,2019-08-27 05:46:00,5220.0,1267.7,1282.2,1,23100.0,23100,SUS,0,0,1,30.0,0,0.0,0,1,23100.0,23100,이상없음,0
