,가열로번호,에너지,시작시간,종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,cycle,평균온도,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,민감비고,에러발생
0,1,63.3,2020-04-26 08:08:00,2020-04-26 09:47:00,5940.0,659.9,659.9,9,50580.0,5620,CARBON,0,1,0,28.0,,0,0.0,0,9,50580.0,5620,이상없음,0
1,1,216.6,2020-06-28 05:14:00,2020-06-28 07:45:00,9060.0,711.6,707.0,4,28320.0,8520,ALLOY,1,0,0,56.0,,4,28320.0,8520,0,0.0,0,이상없음,0
2,3,668.0,2020-05-05 14:00:00,2020-05-05 17:44:00,13440.0,846.9,842.4,5,43840.0,8880,CARBON,0,1,0,44.0,,0,0.0,0,5,43840.0,8880,이상없음,0
3,3,440.6,2020-06-07 06:30:00,2020-06-07 09:15:00,9900.0,691.7,694.3,5,64320.0,15760,ALLOY,1,0,0,65.0,,2,17040.0,8520,3,47280.0,15760,이상없음,0
4,4,176.6,2020-03-09 06:14:00,2020-03-09 07:57:00,6180.0,653.1,654.9,6,57324.0,9554,ALLOY,1,0,0,4.0,,0,0.0,0,6,57324.0,9554,이상없음,0
5,5,321.1,2020-03-30 23:08:00,2020-03-31 04:51:00,20580.0,300.6,329.9,7,94360.0,13480,ALLOY,1,0,0,12.0,,0,0.0,0,7,94360.0,13480,이상없음,0
6,5,1090.2,2020-03-31 11:06:00,2020-03-31 23:50:00,45840.0,593.4,602.4,7,94360.0,13480,ALLOY,1,0,0,12.0,,0,0.0,0,7,94360.0,13480,이상없음,0
7,6,794.7,2020-03-29 16:30:00,2020-03-29 19:36:00,11160.0,798.7,801.3,5,79290.0,25950,CARBON,0,1,0,18.0,,0,0.0,0,5,79290.0,25950,이상없음,0
8,6,652.5,2020-07-07 00:06:00,2020-07-07 02:25:00,8340.0,648.2,649.4,7,106310.0,26000,CARBON,0,1,0,75.0,,0,0.0,0,7,106310.0,26000,이상없음,0
9,13,2056.0,2020-03-07 09:49:00,2020-03-08 05:31:00,70920.0,758.9,762.1,1,67500.0,67500,CARBON,0,1,0,2.0,,0,0.0,0,1,67500.0,67500,이상없음,0
10,13,648.2,2020-03-08 10:50:00,2020-03-08 13:32:00,9720.0,1007.6,1015.1,1,67500.0,67500,CARBON,0,1,0,2.0,,0,0.0,0,1,67500.0,67500,이상없음,0
11,17,1121.2,2020-03-07 11:25:00,2020-03-07 20:41:00,33360.0,648.0,650.6,3,193323.0,173703,CARBON,0,1,0,7.0,,0,0.0,0,3,193323.0,173703,이상없음,0
12,17,83.9,2020-06-01 17:21:00,2020-06-01 18:13:00,3120.0,373.3,370.0,7,139410.0,27610,CARBON,0,1,0,69.0,,0,0.0,0,7,139410.0,27610,이상없음,0
13,17,1103.0,2020-06-02 04:12:00,2020-06-02 10:26:00,22440.0,658.1,672.2,7,139410.0,27610,CARBON,0,1,0,69.0,,0,0.0,0,7,139410.0,27610,이상없음,0
14,17,903.5,2020-06-20 23:41:00,2020-06-21 05:29:00,20880.0,662.1,671.3,8,173780.0,56280,ALLOY,1,0,0,81.0,,8,173780.0,56280,0,0.0,0,이상없음,0
15,18,680.3,2020-05-24 05:42:00,2020-05-24 11:28:00,20760.0,601.5,594.0,8,106040.0,15550,CARBON,0,1,0,50.0,,2,20600.0,10300,6,85440.0,15550,이상없음,0
16,18,659.9,2020-06-14 04:04:00,2020-06-14 09:51:00,20820.0,650.3,647.0,4,84270.0,26000,SUS,0,0,1,69.0,,3,66300.0,26000,1,17970.0,17970,이상없음,0
17,18,551.8,2020-07-12 04:16:00,2020-07-12 08:02:00,13560.0,648.5,647.5,4,146270.0,58500,CARBON,0,1,0,91.0,,3,87770.0,56280,1,58500.0,58500,이상없음,0
18,19,632.1,2020-05-17 10:30:00,2020-05-17 12:40:00,7800.0,812.7,795.7,7,91880.0,17000,SUS,0,0,1,56.0,,5,71600.0,17000,2,20280.0,10140,이상없음,0
19,19,759.8,2020-05-31 09:30:00,2020-05-31 12:46:00,11760.0,644.5,644.4,5,93100.0,50000,CARBON,0,1,0,63.0,,1,50000.0,50000,4,43100.0,15200,이상없음,0
20,19,1149.1,2020-06-24 03:10:00,2020-06-24 06:02:00,10320.0,945.9,949.4,4,146150.0,42100,CARBON,0,1,0,81.0,,3,104050.0,37600,1,42100.0,42100,이상없음,0
21,20,721.7,2020-05-31 06:06:00,2020-05-31 09:57:00,13860.0,649.0,662.9,5,149720.0,43500,SUS,0,0,1,63.0,,0,0.0,0,5,149720.0,43500,이상없음,0
22,1,1841.0,2020-03-04 07:32:00,2020-03-04 20:11:00,45540.0,1258.9,1265.0,4,32960.0,8240,CARBON,0,1,0,1.0,1257.5400657894736,0,0.0,0,4,32960.0,8240,이상없음,0
23,1,874.7000000001863,2020-03-04 20:25:00,2020-03-05 04:35:00,29400.0,1264.7,1284.8,4,32960.0,8240,CARBON,0,1,0,1.0,1278.923421588595,0,0.0,0,4,32960.0,8240,이상없음,0
