,가열로번호,에너지,시작시간,종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,cycle,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,민감비고,에러발생
0,17,1390.8,9/25/2019 6:47,9/25/2019 10:01,11640,1138.9,1245.8,6,160104,42550,CARBON,0,1,0,1,2,80050,42550,4,80054,27500,이상없음,0
1,17,1503.4,9/26/2019 9:18,9/26/2019 13:56,16680,1260.1,1279.9,4,150850,56100,CARBON,0,1,0,2,0,0,0,4,150850,56100,이상없음,0
2,17,452.9,9/30/2019 18:57,9/30/2019 20:26,5340,1221.5,1228.0,3,115200,51600,CARBON,0,1,0,4,0,0,0,3,115200,51600,이상없음,0
3,17,2689.5,10/1/2019 9:38,10/1/2019 16:44,25560,1259.0,1274.5,1,51600,51600,SUS,0,0,1,5,0,0,0,1,51600,51600,이상없음,0
4,17,2629.1,10/2/2019 3:18,10/2/2019 9:48,23400,1248.2,1278.7,3,168640,120440,ALLOY,1,0,0,6,3,168640,120440,0,0,0,이상없음,0
5,17,1416.7,10/2/2019 16:11,10/2/2019 20:20,14940,1252.1,1279.2,3,171140,120440,CARBON,0,1,0,7,3,171140,120440,0,0,0,이상없음,0
6,17,1057.9,10/4/2019 23:00,10/5/2019 1:57,10620,1278.7,1278.3,4,150184,76964,CARBON,0,1,0,8,0,0,0,4,150184,76964,이상없음,0
7,17,289.5,10/7/2019 22:48,10/7/2019 23:27,2340,1224.6,1228.4,8,115460,23800,SUS,0,0,1,9,1,20850,20850,7,94610,23800,이상없음,0
8,17,841.8,10/8/2019 23:45,10/9/2019 1:57,7920,1271.1,1274.9,10,120230,25350,CARBON,0,1,0,10,0,0,0,10,120230,25350,이상없음,0
9,17,568.3,10/9/2019 7:29,10/9/2019 8:57,5280,1283.5,1276.6,3,91540,61600,CARBON,0,1,0,11,0,0,0,3,91540,61600,이상없음,0
10,17,2106.2,10/10/2019 3:24,10/10/2019 8:49,19500,695.0,1066.7,10,152370,20680,CARBON,0,1,0,12,0,0,0,10,152370,20680,이상없음,0
11,17,215.5,10/14/2019 7:54,10/14/2019 8:30,2160,1276.8,1271.9,8,131950,26200,CARBON,0,1,0,13,0,0,0,8,131950,26200,이상없음,0
12,17,538.4,10/16/2019 23:22,10/17/2019 0:54,5520,1276.8,1280.6,6,111800,33350,CARBON,0,1,0,16,0,0,0,6,111800,33350,이상없음,0
13,17,4349.4,10/17/2019 10:29,10/17/2019 21:10,38460,1268.4,1273.7,6,176210,50600,CARBON,0,1,0,17,0,0,0,6,176210,50600,이상없음,0
14,17,2127.4,10/18/2019 21:00,10/19/2019 1:52,17520,1253.1,1271.9,10,148290,19100,CARBON,0,1,0,18,0,0,0,10,148290,19100,이상없음,0
15,17,382.9,10/22/2019 8:57,10/22/2019 9:55,3480,1267.3,1279.6,5,90300,31500,CARBON,0,1,0,19,3,27300,9100,2,63000,31500,이상없음,0
16,17,2783.1,10/22/2019 17:00,10/23/2019 0:27,26820,1246.5,1277.5,6,117780,31500,CARBON,0,1,0,20,0,0,0,6,117780,31500,이상없음,0
17,17,216.3,10/24/2019 17:09,10/24/2019 17:52,2580,1253.7,1275.7,6,89475,14970,CARBON,0,1,0,21,0,0,0,6,89475,14970,이상없음,0
18,17,842.1,10/29/2019 2:29,10/29/2019 6:51,15720,1262.6,1272.3,4,151100,49600,CARBON,0,1,0,24,0,0,0,4,151100,49600,이상없음,0
19,17,1082.7,10/29/2019 15:12,10/29/2019 18:13,10860,1256.7,1267.8,5,107230,54150,CARBON,0,1,0,25,0,0,0,5,107230,54150,이상없음,0
20,17,583.9,10/30/2019 11:12,10/30/2019 13:32,8400,1257.6,1267.5,3,145435,72085,CARBON,0,1,0,26,0,0,0,3,145435,72085,이상없음,0
21,17,4038.5,10/30/2019 19:59,10/31/2019 7:04,39900,1182.7,1271.4,4,145050,54150,CARBON,0,1,0,27,1,53500,53500,3,91550,54150,이상없음,0
22,17,900.8,11/1/2019 10:40,11/1/2019 13:24,9840,1262.8,1276.7,4,157600,39700,CARBON,0,1,0,28,2,78200,39100,2,79400,39700,이상없음,0
23,17,285.1,11/4/2019 8:12,11/4/2019 8:58,2760,1239.2,1270.0,7,114870,25000,SUS,0,0,1,29,1,25000,25000,6,89870,16700,이상없음,0
24,17,3997.6,11/4/2019 19:42,11/5/2019 11:03,55260,1256.7,1271.5,8,123110,26850,CARBON,0,1,0,30,0,0,0,8,123110,26850,이상없음,0
25,17,138.9,11/5/2019 22:18,11/5/2019 23:00,2520,1253.7,1271.7,4,57300,26850,CARBON,0,1,0,31,0,0,0,4,57300,26850,이상없음,0
26,17,1518.8,11/6/2019 13:31,11/6/2019 18:42,18660,1236.3,1268.4,3,131300,52100,ALLOY,1,0,0,32,1,43600,43600,2,87700,52100,이상없음,0
27,17,3577.7,11/7/2019 22:17,11/8/2019 10:26,43740,1262.6,1274.5,10,176310,71000,CARBON,0,1,0,33,1,71000,71000,9,105310,19000,이상없음,0
28,17,273.4,11/11/2019 21:20,11/11/2019 22:46,5160,1255.1,1268.5,4,111800,58500,CARBON,0,1,0,35,1,58500,58500,3,53300,32000,이상없음,0
29,17,1283.7,11/13/2019 21:06,11/14/2019 5:04,28680,1256.8,1268.2,7,165890,48600,CARBON,0,1,0,37,2,97200,48600,5,68690,15150,이상없음,0
30,17,225.4,11/14/2019 8:57,11/14/2019 10:14,4620,1255.8,1268.1,2,63750,48600,CARBON,0,1,0,38,1,48600,48600,1,15150,15150,이상없음,0
31,17,4436.9,11/15/2019 2:51,11/15/2019 20:10,62340,1240.3,1244.5,6,117370,38800,CARBON,0,1,0,39,2,32800,16400,4,84570,38800,이상없음,0
32,17,329.0,11/18/2019 21:42,11/18/2019 23:28,6360,1245.0,1267.7,5,127520,32900,CARBON,0,1,0,41,3,68670,22890,2,58850,32900,이상없음,0
33,17,4549.6,11/19/2019 8:33,11/20/2019 1:56,62580,1266.7,1270.5,6,155170,38600,CARBON,0,1,0,42,2,77200,38600,4,77970,22800,이상없음,0
34,17,2848.8,11/20/2019 10:28,11/20/2019 22:57,44940,1253.9,1260.5,7,179160,40310,ALLOY,1,0,0,43,6,138850,28350,1,40310,40310,이상없음,0
35,17,389.4,11/21/2019 11:48,11/21/2019 14:00,7920,1264.7,1269.1,3,107760,40310,CARBON,0,1,0,44,2,67450,39100,1,40310,40310,이상없음,0
36,17,3926.7,11/21/2019 18:18,11/22/2019 6:46,44880,1247.5,1275.5,5,123700,58500,ALLOY,1,0,0,45,5,123700,58500,0,0,0,이상없음,0
37,17,1430.9,11/25/2019 6:56,11/25/2019 14:31,27300,1250.9,1269.4,4,183682,138882,CARBON,0,1,0,46,0,0,0,4,183682,138882,이상없음,0
38,17,226.8,11/25/2019 19:08,11/25/2019 20:20,4320,1270.2,1270.0,2,62000,36000,CARBON,0,1,0,47,0,0,0,2,62000,36000,이상없음,0
39,17,217.3,11/26/2019 19:17,11/26/2019 20:23,3960,1252.1,1241.2,4,59140,26000,CARBON,0,1,0,48,3,33140,16400,1,26000,26000,이상없음,0
40,17,3489.5,11/27/2019 7:49,11/27/2019 20:53,47040,1263.6,1269.2,6,164710,53500,CARBON,0,1,0,49,0,0,0,6,164710,53500,이상없음,0
41,17,356.8,11/28/2019 17:13,11/28/2019 18:49,5760,1269.8,1266.0,2,103000,53500,CARBON,0,1,0,51,0,0,0,2,103000,53500,이상없음,0
42,17,225.2,11/29/2019 12:07,11/29/2019 12:58,3060,1270.9,1268.4,2,51000,25500,CARBON,0,1,0,53,0,0,0,2,51000,25500,이상없음,0
43,17,661.4,12/4/2019 9:50,12/4/2019 13:17,12420,1249.5,1269.9,10,115090,19600,CARBON,0,1,0,55,0,0,0,10,115090,19600,이상없음,0
44,17,2823.9,12/5/2019 21:52,12/6/2019 8:22,37800,1264.7,1270.4,7,111980,34850,CARBON,0,1,0,57,1,34850,34850,6,77130,16450,이상없음,0
45,17,2335.7,12/9/2019 6:57,12/9/2019 14:28,27060,1271.4,1268.5,3,193440,120440,CARBON,0,1,0,58,0,0,0,3,193440,120440,이상없음,0
46,17,193.9,12/11/2019 7:32,12/11/2019 8:30,3480,1272.6,1271.8,2,141500,105000,CARBON,0,1,0,60,1,105000,105000,1,36500,36500,이상없음,0
47,17,3614.7,12/11/2019 11:17,12/12/2019 8:21,75840,1270.8,1278.1,2,141500,105000,CARBON,0,1,0,61,1,105000,105000,1,36500,36500,이상없음,0
48,17,4565.4,12/12/2019 19:06,12/13/2019 13:54,67680,1261.3,1269.6,6,89055,25950,CARBON,0,1,0,62,0,0,0,6,89055,25950,이상없음,0
49,17,505.4,12/16/2019 11:28,12/16/2019 13:33,7500,1236.6,1276.6,5,157570,73500,CARBON,0,1,0,63,0,0,0,5,157570,73500,이상없음,0
50,17,3808.0,12/16/2019 17:30,12/17/2019 6:50,48000,1266.7,1274.6,4,190600,73500,CARBON,0,1,0,64,0,0,0,4,190600,73500,이상없음,0
51,17,930.7,12/18/2019 3:49,12/18/2019 8:37,17280,1258.3,1279.8,7,84660,32300,CARBON,0,1,0,65,0,0,0,7,84660,32300,이상없음,0
52,17,493.7,12/19/2019 4:54,12/19/2019 6:18,5040,1232.4,1271.8,5,155360,69600,ALLOY,1,0,0,66,4,85760,38600,1,69600,69600,이상없음,0
