,가열로번호,에너지,가열시작시간,가열종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,쉰시간,cycle,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,20,515.5,9/27/2019 18:45,9/27/2019 19:46,3660,937.8,1252.1,2,34200,17900,CARBON,0,1,0,780,4,0,0,0,2,34200,17900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34200,17900,0,누락없음,3600,9/27/2019,야간,금,겹침,이상없음,6,1,C,평일,0
1,20,2612.1,9/26/2019 18:59,9/26/2019 22:56,14220,615.0,1254.4,6,84130,19300,ALLOY,1,0,0,7740,3,1,17000,17000,5,67130,19300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17000,17000,5,67130,19300,0,누락없음,13980,9/27/2019,주간,목,안겹침,이상없음,3,0,AC,평일,0
2,19,4448.6,9/29/2019 6:05,9/29/2019 15:06,32460,356.2,1252.9,5,148180,48000,CARBON,0,1,0,130260,5,0,0,0,5,148180,48000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,148180,48000,0,누락없음,32160,9/30/2019,주간,일,안겹침,이상없음,4,0,C,주말,0
3,18,3464.7,10/6/2019 13:05,10/6/2019 22:03,32280,359.9,1200.7,7,146370,32500,CARBON,0,1,0,130080,12,0,0,0,5,96170,32500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,146370,32500,0,강종누락,31020,10/7/2019,주간,일,안겹침,이상없음,1,0,C,주말,0
4,17,3262.5,10/8/2019 7:36,10/8/2019 13:27,21060,406.7,1255.5,10,120230,25350,CARBON,0,1,0,1920,10,0,0,0,10,120230,25350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,120230,25350,0,누락없음,20700,10/8/2019,야간,화,안겹침,이상없음,8,0,C,평일,0
5,17,646.7,10/9/2019 23:26,10/10/2019 0:49,4980,657.6,1276.7,10,152370,20680,CARBON,0,1,0,19680,12,0,0,0,10,152370,20680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,152370,20680,0,누락없음,4200,10/11/2019,주간,수,안겹침,이상없음,3,0,C,평일,0
6,18,2975.0,10/13/2019 1:26,10/13/2019 10:01,30900,403.6,1251.4,5,50750,25950,CARBON,0,1,0,110760,18,0,0,0,5,50750,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50750,25950,0,누락없음,28860,10/14/2019,주간,일,안겹침,이상없음,8,0,C,주말,0
7,19,3310.9,10/13/2019 15:53,10/14/2019 0:13,30000,437.8,1250.7,3,164000,64000,CARBON,0,1,0,147300,16,0,0,0,2,105000,64000,1,59000,59000,0,0,0,0,0,0,0,0,0,0,0,0,1,59000,59000,2,105000,64000,0,누락없음,29400,10/14/2019,주간,일,겹침,이상없음,10,1,CS,주말,0
8,19,3364.7,10/19/2019 4:56,10/19/2019 11:54,25080,644.1,1250.9,2,202195,130110,CARBON,0,1,0,32160,21,0,0,0,2,202195,130110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130110,130110,1,72085,72085,0,누락없음,24720,10/21/2019,주간,토,겹침,이상없음,2,2,C,주말,0
9,19,1580.7,10/25/2019 20:51,10/26/2019 2:05,18840,794.2,1249.2,1,180000,180000,CARBON,0,1,0,9360,28,0,0,0,1,180000,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180000,180000,0,0,0,0,누락없음,17760,10/28/2019,야간,금,안겹침,이상없음,1,1,C,평일,0
10,18,3612.4,11/3/2019 4:04,11/3/2019 11:44,27600,485.9,1251.9,4,177500,60500,CARBON,0,1,0,123180,36,0,0,0,4,177500,60500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,177500,60500,0,누락없음,26700,11/4/2019,주간,일,안겹침,이상없음,2,0,C,주말,0
11,20,3581.0,11/3/2019 16:21,11/4/2019 5:52,48660,379.0,1259.2,7,124820,35000,CARBON,0,1,0,122880,29,0,0,0,7,124820,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,124820,35000,0,누락없음,34440,11/4/2019,야간,일,안겹침,이상없음,4,0,C,주말,0
12,19,4211.2,11/3/2019 8:41,11/3/2019 17:07,30360,540.6,1249.6,8,151290,58500,CARBON,0,1,0,108060,32,1,20100,20100,7,131190,58500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,78600,58500,6,72690,21100,0,누락없음,30060,11/4/2019,주간,일,안겹침,이상없음,7,0,AC,주말,0
13,17,3517.7,11/3/2019 5:34,11/3/2019 15:02,34080,368.8,1209.8,7,114870,25000,SUS,0,0,1,81180,29,0,0,0,0,0,0,7,114870,25000,0,0,0,0,0,0,0,0,0,0,0,0,1,25000,25000,6,89870,16700,0,누락없음,600,11/4/2019,주간,일,겹침,이상없음,7,7,S,주말,0
14,19,3919.1,11/6/2019 9:00,11/6/2019 17:38,31080,424.5,1200.9,8,204500,26600,SUS,0,0,1,49980,34,0,0,0,0,0,0,8,204500,26600,0,0,0,0,0,0,0,0,0,0,0,0,5,126500,26100,3,78000,26600,0,누락없음,30060,11/7/2019,주간,수,안겹침,이상없음,7,0,S,평일,0
15,19,4590.9,11/10/2019 0:53,11/10/2019 10:56,36180,361.0,1249.7,4,134150,41100,CARBON,0,1,0,121980,37,0,0,0,4,134150,41100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,134150,41100,0,누락없음,35400,11/11/2019,주간,일,안겹침,이상없음,3,0,C,주말,0
16,19,597.5,11/11/2019 10:53,11/11/2019 11:54,3660,821.6,1248.8,2,117150,63000,CARBON,0,1,0,15660,38,0,0,0,2,117150,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,117150,63000,0,누락없음,3600,11/11/2019,야간,월,안겹침,이상없음,4,0,C,평일,0
17,17,2896.7,11/10/2019 17:37,11/11/2019 2:10,30780,451.0,1258.1,4,111800,58500,CARBON,0,1,0,158040,35,0,0,0,4,111800,58500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58500,58500,3,53300,32000,0,누락없음,30000,11/11/2019,야간,일,안겹침,이상없음,5,0,C,주말,0
