,가열로번호,에너지,가열시작시간,가열종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,쉰시간,cycle,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,3,2210.5,8/2/2019 23:49,8/3/2019 7:13,26640,127.0,1252.7,3,33870,13080,CARBON,0,1,0,620640,16,0,0,0,3,33870,13080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33870,13080,0,누락없음,19260,8/3/2019,야간,금,안겹침,이상없음,12,0,C,평일,0
1,3,560.5,8/4/2019 4:14,8/4/2019 6:48,9240,876.8,1243.0,8,88000,11000,ALLOY,1,0,0,1860,17,8,88000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88000,11000,0,0,0,0,누락없음,4500,8/4/2019,야간,일,안겹침,이상없음,3,0,A,주말,0
2,5,2666.1,8/6/2019 23:46,8/7/2019 5:14,19680,284.2,1263.7,7,68859,9837,ALLOY,1,0,0,1688100,12,7,68859,9837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,68859,9837,0,0,0,0,누락없음,19560,8/7/2019,야간,화,안겹침,이상없음,6,0,A,평일,0
3,5,1622.5,8/8/2019 7:03,8/8/2019 10:31,12480,727.4,1253.5,8,48890,6730,CARBON,0,1,0,1860,13,0,0,0,8,48890,6730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,48890,6730,0,누락없음,12300,8/8/2019,야간,목,안겹침,이상없음,7,0,C,평일,0
4,4,786.9,8/8/2019 2:53,8/8/2019 4:14,4860,742.2,1263.8,3,32600,13800,CARBON,0,1,0,14820,23,0,0,0,2,27600,13800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,5000,2,27600,13800,0,강종누락,4800,8/8/2019,야간,목,안겹침,이상없음,7,0,C,평일,0
5,2,146.2,8/12/2019 16:18,8/12/2019 16:41,1380,739.6,1273.6,9,58230,6470,CARBON,0,1,0,1437360,8,0,0,0,9,58230,6470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,58230,6470,0,누락없음,1320,8/12/2019,야간,월,안겹침,이상없음,6,0,C,주말,0
6,2,2058.8,8/13/2019 4:26,8/13/2019 8:26,14400,433.3,1251.6,12,139070,16100,ALLOY,1,0,0,9000,9,7,105890,16100,5,33180,7300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,113190,16100,4,25880,6470,0,누락없음,14400,8/13/2019,야간,화,겹침,이상없음,9,4,AC,평일,0
7,2,206.4,8/15/2019 1:58,8/15/2019 2:41,2580,1003.6,1256.5,6,96600,16100,ALLOY,1,0,0,10560,11,6,96600,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,96600,16100,0,0,0,0,누락없음,2520,8/15/2019,야간,목,안겹침,이상없음,11,0,A,평일,0
8,5,1947.0,8/14/2019 14:49,8/14/2019 19:05,15360,603.5,1254.5,5,34120,9200,CARBON,0,1,0,5400,16,1,9200,9200,4,24920,6320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9200,9200,4,24920,6320,0,누락없음,14940,8/15/2019,주간,수,안겹침,이상없음,3,0,AC,평일,0
9,4,2728.5,8/18/2019 5:49,8/18/2019 16:01,36720,648.0,1255.2,8,111210,25100,CARBON,0,1,0,35700,24,0,0,0,8,111210,25100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25100,25100,7,86110,15190,0,누락없음,32220,8/19/2019,주간,일,겹침,이상없음,8,8,C,주말,0
