,가열로번호,에너지,가열시작시간,가열종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,쉰시간,cycle,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,2,146.2,8/12/2019 16:18,8/12/2019 16:41,1380,739.6,1273.6,9,58230,6470,CARBON,0,1,0,1437360,8,0,0,0,9,58230,6470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,58230,6470,0,누락없음,1320,8/12/2019,야간,월,안겹침,이상없음,6,0,C,주말,0
1,2,2058.8,8/13/2019 4:26,8/13/2019 8:26,14400,433.3,1251.6,12,139070,16100,ALLOY,1,0,0,9000,9,7,105890,16100,5,33180,7300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,113190,16100,4,25880,6470,0,누락없음,14400,8/13/2019,야간,화,겹침,이상없음,9,4,AC,평일,0
2,2,206.4,8/15/2019 1:58,8/15/2019 2:41,2580,1003.6,1256.5,6,96600,16100,ALLOY,1,0,0,10560,11,6,96600,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,96600,16100,0,0,0,0,누락없음,2520,8/15/2019,야간,목,안겹침,이상없음,11,0,A,평일,0
3,2,2223.8,8/22/2019 6:09,8/22/2019 10:24,15300,538.4,1265.6,15,122890,9350,CARBON,0,1,0,2340,13,1,5700,5700,14,117190,9350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5700,5700,14,117190,9350,0,누락없음,15180,8/22/2019,야간,목,안겹침,이상없음,6,0,AC,평일,0
4,2,345.6,8/25/2019 0:47,8/25/2019 3:38,10260,491.1,660.4,7,75090,12310,CARBON,0,1,0,73380,15,0,0,0,7,75090,12310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,75090,12310,0,누락없음,6300,8/26/2019,주간,일,안겹침,이상없음,7,0,C,주말,0
5,2,2304.8,8/25/2019 9:27,8/25/2019 18:37,33000,649.1,1253.6,7,75090,12310,CARBON,0,1,0,20940,15,0,0,0,7,75090,12310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,75090,12310,0,누락없음,29040,8/26/2019,주간,일,겹침,이상없음,7,7,C,주말,0
6,2,84.3,8/26/2019 17:58,8/26/2019 18:12,840,1088.8,1262.3,2,46950,27350,CARBON,0,1,0,5160,16,0,0,0,1,27350,27350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46950,27350,0,0,0,0,강종누락,780,8/27/2019,주간,월,안겹침,이상없음,9,0,C,평일,0
7,2,279.2,8/27/2019 18:56,8/27/2019 19:29,1980,715.3,1238.5,2,31805,16455,CARBON,0,1,0,960,17,1,15350,15350,1,16455,16455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31805,16455,0,0,0,0,누락없음,1920,8/28/2019,주간,화,안겹침,이상없음,2,0,AC,평일,0
8,2,532.3,8/28/2019 18:19,8/28/2019 19:18,3540,734.1,1264.4,7,47110,6730,CARBON,0,1,0,1320,18,0,0,0,7,47110,6730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,47110,6730,0,누락없음,3480,8/29/2019,주간,수,안겹침,이상없음,2,0,C,평일,0
9,2,3287.6,9/3/2019 8:34,9/3/2019 15:35,25260,80.1,1253.8,5,61550,12310,CARBON,0,1,0,324600,20,0,0,0,5,61550,12310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,61550,12310,0,누락없음,25080,9/4/2019,주간,화,안겹침,이상없음,2,0,C,평일,0
