,가열로번호,에너지,가열시작시간,가열종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,쉰시간,cycle,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,3,560.5,8/4/2019 4:14,8/4/2019 6:48,9240,876.8,1243.0,8,88000,11000,ALLOY,1,0,0,1860,17,8,88000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88000,11000,0,0,0,0,누락없음,4500,8/4/2019,야간,일,안겹침,이상없음,3,0,A,주말,0
1,2,206.4,8/15/2019 1:58,8/15/2019 2:41,2580,1003.6,1256.5,6,96600,16100,ALLOY,1,0,0,10560,11,6,96600,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,96600,16100,0,0,0,0,누락없음,2520,8/15/2019,야간,목,안겹침,이상없음,11,0,A,평일,0
2,2,84.3,8/26/2019 17:58,8/26/2019 18:12,840,1088.8,1262.3,2,46950,27350,CARBON,0,1,0,5160,16,0,0,0,1,27350,27350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46950,27350,0,0,0,0,강종누락,780,8/27/2019,주간,월,안겹침,이상없음,9,0,C,평일,0
3,2,279.2,8/27/2019 18:56,8/27/2019 19:29,1980,715.3,1238.5,2,31805,16455,CARBON,0,1,0,960,17,1,15350,15350,1,16455,16455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31805,16455,0,0,0,0,누락없음,1920,8/28/2019,주간,화,안겹침,이상없음,2,0,AC,평일,0
4,2,624.3,9/4/2019 19:10,9/4/2019 20:22,4320,687.0,1256.8,5,57110,15190,CARBON,0,1,0,1200,21,1,3890,3890,4,53220,15190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3890,3890,4,53220,15190,0,누락없음,4260,9/5/2019,주간,수,안겹침,이상없음,5,0,AC,평일,0
5,2,716.5,9/5/2019 18:32,9/5/2019 20:12,6000,817.7,1258.5,5,60880,14270,CARBON,0,1,0,900,22,2,28540,14270,3,32340,11460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28540,14270,3,32340,11460,0,누락없음,5940,9/6/2019,주간,목,안겹침,이상없음,5,0,AC,평일,0
6,2,1189.4,9/8/2019 3:26,9/8/2019 5:56,9000,559.7,1261.2,6,51120,11970,CARBON,0,1,0,2340,24,0,0,0,5,46120,11970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,5000,5,46120,11970,0,강종누락,8760,9/8/2019,야간,일,안겹침,이상없음,8,0,C,주말,0
7,3,510.9,9/8/2019 5:21,9/8/2019 6:14,3180,536.3,1268.7,8,76432,9554,ALLOY,1,0,0,1800,23,8,76432,9554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,76432,9554,0,0,0,0,누락없음,3120,9/8/2019,야간,일,안겹침,이상없음,5,0,A,주말,0
8,3,976.9,9/10/2019 3:37,9/10/2019 5:23,6360,599.2,1261.3,10,84500,11970,CARBON,0,1,0,14880,25,2,19650,10300,8,64850,11970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19650,10300,8,64850,11970,0,누락없음,6300,9/10/2019,야간,화,안겹침,이상없음,7,0,AC,평일,0
9,2,124.8,9/17/2019 12:04,9/17/2019 12:41,2220,1112.2,1254.2,8,118920,16100,ALLOY,1,0,0,2100,30,8,118920,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,118920,16100,0,0,0,0,누락없음,2160,9/18/2019,주간,화,안겹침,이상없음,8,0,A,평일,0
10,2,1468.1,9/20/2019 3:46,9/20/2019 6:33,10020,612.3,1269.2,8,88000,11000,ALLOY,1,0,0,5400,32,8,88000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88000,11000,0,0,0,0,누락없음,9660,9/20/2019,야간,금,안겹침,이상없음,7,0,A,평일,0
11,2,207.3,9/21/2019 21:29,9/21/2019 23:15,6360,549.8,657.6,10,92400,11970,ALLOY,1,0,0,58620,33,2,23400,11700,8,69000,11970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23400,11700,8,69000,11970,0,누락없음,-6420,9/23/2019,주간,토,안겹침,이상없음,7,0,AC,주말,0
12,3,616.1,9/26/2019 16:49,9/26/2019 17:51,3720,520.4,1251.2,6,81144,13524,ALLOY,1,0,0,9120,34,6,81144,13524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,81144,13524,0,0,0,0,누락없음,3660,9/27/2019,주간,목,겹침,이상없음,7,6,A,평일,0
13,2,869.8,9/26/2019 18:33,9/26/2019 20:11,5880,621.0,1266.1,7,47690,9600,CARBON,0,1,0,1860,37,0,0,0,4,22520,6260,2,15570,8560,0,0,0,0,0,0,0,0,0,0,0,0,2,16610,9600,5,31080,8560,0,강종누락,5820,9/27/2019,주간,목,안겹침,이상없음,3,0,CS,평일,0
