,가열로번호,에너지,가열시작시간,가열종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,쉰시간,cycle,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,2,345.6,8/25/2019 0:47,8/25/2019 3:38,10260,491.1,660.4,7,75090,12310,CARBON,0,1,0,73380,15,0,0,0,7,75090,12310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,75090,12310,0,누락없음,6300,8/26/2019,주간,일,안겹침,이상없음,7,0,C,주말,0
1,4,1670.0,8/27/2019 3:59,8/27/2019 6:36,9420,708.2,1245.2,9,89550,15190,CARBON,0,1,0,4320,30,0,0,0,9,89550,15190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,89550,15190,0,누락없음,9360,8/27/2019,야간,화,안겹침,이상없음,7,0,C,평일,0
2,1,471.9,8/29/2019 7:00,8/29/2019 8:37,5820,807.0,1256.6,5,29100,5820,CARBON,0,1,0,1680,33,0,0,0,5,29100,5820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29100,5820,0,누락없음,5760,8/29/2019,야간,목,안겹침,이상없음,7,0,C,평일,0
3,4,1264.0,8/29/2019 3:35,8/29/2019 5:37,7320,647.4,1248.1,10,75240,7750,CARBON,0,1,0,4200,32,0,0,0,10,75240,7750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,75240,7750,0,누락없음,7080,8/29/2019,야간,목,안겹침,이상없음,6,0,C,평일,0
4,1,496.1,9/5/2019 6:41,9/5/2019 8:25,6240,780.8,1262.1,4,29040,7260,CARBON,0,1,0,780,36,0,0,0,4,29040,7260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29040,7260,0,누락없음,6180,9/5/2019,야간,목,안겹침,이상없음,5,0,C,평일,0
5,1,418.4,9/6/2019 7:01,9/6/2019 8:28,5220,851.8,1255.9,4,29040,7260,CARBON,0,1,0,720,37,0,0,0,4,29040,7260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29040,7260,0,누락없음,5160,9/6/2019,야간,금,안겹침,이상없음,4,0,C,평일,0
6,5,698.2,9/7/2019 18:41,9/7/2019 20:30,6540,830.6,1258.5,4,34640,12750,CARBON,0,1,0,900,29,0,0,0,4,34640,12750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34640,12750,0,누락없음,6420,9/8/2019,주간,토,겹침,이상없음,7,1,C,주말,0
7,3,782.4,9/9/2019 3:25,9/9/2019 4:45,4800,580.8,1259.4,7,52710,7530,CARBON,0,1,0,14460,24,0,0,0,7,52710,7530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,52710,7530,0,누락없음,4620,9/9/2019,야간,월,안겹침,이상없음,8,0,C,평일,0
8,1,487.1,9/9/2019 14:45,9/9/2019 16:28,6180,737.4,1261.9,4,26920,6730,CARBON,0,1,0,6720,40,0,0,0,4,26920,6730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26920,6730,0,누락없음,6060,9/10/2019,주간,월,안겹침,이상없음,7,0,C,주말,0
9,3,625.7,9/16/2019 18:38,9/16/2019 19:42,3840,631.4,1252.0,8,54280,7750,CARBON,0,1,0,1320,28,0,0,0,8,54280,7750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,54280,7750,0,누락없음,3780,9/17/2019,주간,월,안겹침,이상없음,8,0,C,주말,0
