,에너지,가열시작시간,가열종료시간,시간(총),시간(0제외),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,1022.8,2020-03-03 15:35:00,2020-03-03 17:13:00,5880,5820,738.6,1254.9,9,113820,14850,ALLOY,1,0,0,6,89100,14850,3,24720,8240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,113820,14850,1680,0,누락없음,4,3/4/2020,주간,화,안겹침,이상없음,8,0,AC,평일,0
1,792.3,2020-03-06 02:10:00,2020-03-06 03:22:00,4320,4200,621.9,1250.5,6,76240,12810,CARBON,0,1,0,0,0,0,4,51240,12810,2,25000,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,76240,12810,840,0,누락없음,6,3/6/2020,야간,금,안겹침,이상없음,6,0,CS,평일,0
2,548.5,2020-03-05 16:31:00,2020-03-05 17:19:00,2880,2040,1182.8,1253.4,8,84240,10530,ALLOY,1,0,0,8,84240,10530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,84240,10530,9060,0,누락없음,4,3/6/2020,주간,목,안겹침,이상없음,5,0,A,평일,0
3,1443.3,2020-03-09 07:57:00,2020-03-09 10:25:00,8880,-2220,654.9,1257.2,6,57324,9554,ALLOY,1,0,0,6,57324,9554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,57324,9554,6180,0,누락없음,4,3/9/2020,야간,월,겹침,이상없음,6,6,A,평일,0
4,129.9,2020-03-09 22:57:00,2020-03-09 23:16:00,1140,960,1035.0,1256.1,8,111850,14850,ALLOY,1,0,0,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7900,7900,7,103950,14850,5040,0,강종누락,4,3/10/2020,야간,월,안겹침,이상없음,8,0,A,주말,0
5,129.1,2020-03-16 12:58:00,2020-03-16 13:16:00,1080,1020,1005.3,1260.9,7,103950,14850,ALLOY,1,0,0,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,103950,14850,8160,0,누락없음,4,3/17/2020,주간,월,안겹침,이상없음,6,0,A,평일,0
6,831.2,2020-03-19 18:23:00,2020-03-19 19:47:00,5040,4860,765.6,1259.4,8,76432,9554,ALLOY,1,0,0,8,76432,9554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,76432,9554,11940,0,누락없음,4,3/20/2020,주간,목,겹침,이상없음,8,8,A,평일,0
7,676.8,2020-03-26 06:51:00,2020-03-26 07:59:00,4080,3960,736.1,1259.0,6,80880,13480,ALLOY,1,0,0,6,80880,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,80880,13480,1800,0,누락없음,4,3/26/2020,야간,목,겹침,이상없음,6,6,A,평일,0
8,1177.9,2020-03-27 05:17:00,2020-03-27 07:10:00,6780,6780,796.7,1256.9,10,112810,20850,CARBON,0,1,0,0,0,0,10,112810,20850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,112810,20850,2640,0,누락없음,4,3/27/2020,야간,금,안겹침,이상없음,6,0,C,평일,0
9,201.2,2020-03-30 15:47:00,2020-03-30 16:12:00,1500,1380,810.3,1250.3,3,79400,27500,CARBON,0,1,0,0,0,0,3,79400,27500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,79400,27500,720,0,누락없음,6,3/30/2020,야간,월,겹침,이상없음,5,1,C,평일,0
