,에너지,시간(총),시간(0제외),시작온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감여부,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,146.2,1380,1320,739.6,0,0,0,9,58230,6470,0,0,0,0,0,0,0,0,0,0,0,0,9,58230,6470,0,0,0,0,0,0,9,58230,6470,1437360,0,누락없음,2,2019-08-12,야간,2019-08-12 16:18,월,안겹침,1,6,0,C,주말,0
1,2058.8,14400,14400,433.3,7,105890,16100,5,33180,7300,0,0,0,0,0,0,0,0,0,0,0,0,12,139070,16100,0,0,0,8,113190,16100,4,25880,6470,8820,0,누락없음,2,2019-08-13,야간,2019-08-13 4:26,화,겹침,1,9,4,AC,평일,0
2,1819.7,13260,12780,573.7,4,25090,9200,7,50390,9020,0,0,0,0,0,0,0,0,0,0,0,0,11,75480,9200,0,0,0,4,25090,9200,7,50390,9020,2520,2,누락없음,2,2019-08-14,야간,2019-08-14 6:12,수,겹침,1,12,5,AC,평일,0
3,206.4,2580,2520,1003.6,6,96600,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,96600,16100,0,0,0,6,96600,16100,0,0,0,10560,0,누락없음,2,2019-08-15,야간,2019-08-15 1:58,목,안겹침,0,11,0,A,평일,0
4,2323.6,28260,26940,122.2,0,0,0,6,38930,8250,0,0,0,0,0,0,1,18600,18600,0,0,0,7,57530,18600,1,18600,18600,1,18600,18600,6,38930,8250,456600,2,누락없음,2,2019-08-21,야간,2019-08-20 20:07,화,안겹침,0,6,0,C,평일,0
5,2223.8,15300,15180,538.4,1,5700,5700,14,117190,9350,0,0,0,0,0,0,0,0,0,0,0,0,15,122890,9350,0,0,0,1,5700,5700,14,117190,9350,2160,0,누락없음,2,2019-08-22,야간,2019-08-22 6:09,목,안겹침,0,7,0,AC,평일,0
6,1012.7,6720,6720,649.1,0,0,0,6,39360,6560,0,0,0,3,35790,12390,0,0,0,0,0,0,9,75150,12390,3,35790,12390,3,35790,12390,6,39360,6560,1320,0,누락없음,2,2019-08-23,야간,2019-08-23 4:37,금,안겹침,0,15,0,AC,평일,0
7,3257.0,64200,60240,491.1,0,0,0,7,75090,12310,0,0,0,0,0,0,0,0,0,0,0,0,7,75090,12310,0,0,0,0,0,0,7,75090,12310,73380,0,누락없음,2,2019-08-26,주간,2019-08-25 0:47,일,안겹침,0,9,0,C,주말,0
8,84.3,840,780,1088.8,0,0,0,1,27350,27350,0,0,0,0,0,0,0,0,0,0,0,0,2,46950,27350,0,0,0,2,46950,27350,0,0,0,4980,0,강종누락,2,2019-08-27,주간,2019-08-26 17:58,월,안겹침,0,7,0,C,평일,0
9,279.2,1980,1920,715.3,1,15350,15350,1,16455,16455,0,0,0,0,0,0,0,0,0,0,0,0,2,31805,16455,0,0,0,2,31805,16455,0,0,0,960,0,누락없음,2,2019-08-28,주간,2019-08-27 18:56,화,안겹침,0,2,0,AC,평일,0
