,에너지,시간(총),시간(0제외),시작온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감여부,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부
0,15.2,540,540,1251.1,0,0,0,5,29830,6330,0,0,0,0,0,0,0,0,0,0,0,0,5,29830,6330,0,0,0,0,0,0,5,29830,6330,60,0,누락없음,1,2019-07-01,야간,2019-07-01 5:41,월,안겹침,0,1,0,C,평일
1,1431.8,12540,9720,964.0,8,88800,11100,0,0,0,0,0,0,0,0,0,1,22100,22100,0,0,0,9,110900,22100,1,22100,22100,0,0,0,9,110900,22100,1500,1,누락없음,3,2019-07-02,야간,2019-07-02 3:20,화,안겹침,0,11,0,AC,평일
2,1660.5,11820,11760,426.5,0,0,0,4,21540,5910,1,3780,3780,0,0,0,1,22100,22100,0,0,0,6,47420,22100,1,22100,22100,0,0,0,6,47420,22100,13740,0,누락없음,5,2019-07-02,주간,2019-07-01 18:01,월,안겹침,0,1,0,CS,평일
3,1787.7,11160,11100,469.4,0,0,0,7,70300,11460,0,0,0,0,0,0,0,0,0,0,0,0,7,70300,11460,0,0,0,0,0,0,7,70300,11460,21000,0,누락없음,4,2019-07-02,주간,2019-07-01 17:16,월,안겹침,0,1,0,C,주말
4,671.7,8160,8100,984.7,0,0,0,5,39750,7950,0,0,0,0,0,0,0,0,0,0,0,0,5,39750,7950,0,0,0,0,0,0,5,39750,7950,900,0,누락없음,1,2019-07-02,야간,2019-07-02 6:01,화,안겹침,0,5,0,C,평일
5,847.6,6540,6300,828.8,6,95100,19350,0,0,0,0,0,0,1,14350,14350,0,0,0,0,0,0,7,109450,19350,1,14350,14350,5,81750,19350,2,27700,13850,14220,3,누락없음,4,2019-07-03,주간,2019-07-02 21:51,화,안겹침,0,7,0,A,평일
6,168.5,1680,1620,1062.9,10,104132,13850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,104132,13850,0,0,0,0,0,0,10,104132,13850,16440,0,누락없음,3,2019-07-03,야간,2019-07-03 4:00,수,겹침,0,9,8,A,평일
7,1448.2,12900,11100,716.5,7,77700,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,77700,11100,0,0,0,0,0,0,7,77700,11100,3240,2,누락없음,5,2019-07-03,주간,2019-07-02 14:57,화,안겹침,0,6,0,A,평일
8,585.8,3540,3420,977.5,0,0,0,5,37360,8980,2,9560,4780,1,20350,20350,0,0,0,0,0,0,8,67270,20350,1,20350,20350,0,0,0,8,67270,20350,1140,0,누락없음,3,2019-07-04,야간,2019-07-04 3:56,목,안겹침,0,10,0,ACS,평일
9,1288.6,15720,10200,610.3,0,0,0,9,80980,9020,0,0,0,0,0,0,0,0,0,0,0,0,9,80980,9020,0,0,0,0,0,0,9,80980,9020,780,0,누락없음,1,2019-07-04,야간,2019-07-04 6:43,목,안겹침,0,2,0,C,평일
