,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,15.370773315429688,13.912724494934082,15.641541481018066,12.568660256531288
1,19.017139434814453,19.357742309570312,18.695892333984375,17.523102729044464
2,15.527032852172852,11.857301712036133,11.685723304748535,9.660085147104015
3,12.673277854919434,13.581487655639648,16.378719329833984,17.79628315153804
4,17.9962158203125,18.259849548339844,19.34616470336914,17.958585218262005
5,17.292741775512695,20.120723724365234,14.839996337890625,19.179202979077697
6,14.867094993591309,13.998861312866211,17.998178482055664,14.686959936857704
7,16.478517532348633,16.84925079345703,18.11087989807129,15.185683972968683
8,16.95993995666504,18.70110511779785,16.907968521118164,17.860285546081617
9,22.821544647216797,20.51499366760254,22.630722045898438,15.699104462159175
average,16.90042781829834,16.71540403366089,17.223578643798827,15.811795339962467
