,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,24.3169583030369,51.64311682230455,24.527335830356765,40.36737477647257
1,24.975542068481445,30.6883489264215,26.8415004896081,30.270987098834805
2,21.927090188731317,31.320157421182156,21.12668327663256,31.39708541177189
3,17.57376944500467,25.85511641176427,19.163512354311734,26.092259735945543
4,17.81588479746943,20.573705442261897,19.62980602098548,21.56412518415532
5,28.129201806109883,35.16667960795973,23.11737989342731,34.10300557064468
6,22.843411155368972,24.70044590680533,17.790246797644574,25.20034578424204
7,20.1304523633874,28.316364496421937,22.72085480068041,28.362577611044653
8,22.236192288606063,31.737251679218907,22.421365945235543,31.762963304961467
9,26.512477957684062,41.04722369165923,28.484616321066152,40.10183313066683
average,22.64609803738801,32.10484104059995,22.582330172994865,30.92225576087398
