,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,23.249574661254883,49.35649028166888,21.441041946411133,41.8911681112583
1,38.63249969482422,53.839141556275614,26.427705764770508,44.40806135283665
2,23.294950485229492,40.67988062640478,19.069128036499023,31.496158787535617
3,38.190731048583984,39.382044021026886,20.021011352539062,33.87658172842492
4,18.013669967651367,31.713539579556237,18.286813735961914,24.676367041664832
5,36.3353157043457,71.28479684030982,28.17430305480957,62.10748403989664
6,20.117494583129883,52.27423733334531,27.84420394897461,42.32799964381221
7,23.589256286621094,85.2069985612871,15.171987533569336,66.49296942519774
8,52.61359786987305,111.13922461193062,43.537410736083984,112.80364816110603
9,41.304466247558594,48.941842643544966,44.68272018432617,53.123443109456446
average,31.534155654907227,58.38181960553502,26.46563262939453,51.320388140118936
