,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,24.599930233425564,30.873412061044913,28.604021496242947,32.20640598822206
1,19.243607627020943,31.32167518658574,21.504478030734592,30.240282968282457
2,21.219025505913628,36.536148858388046,18.272591061062283,35.78335377403468
3,25.863005744086372,34.11496549609764,27.89516279432509,34.3196729908553
4,18.872813118828667,20.850375036747355,17.762452019585503,21.63768923844054
5,22.128190570407444,26.585216458272935,18.33047326405843,27.340831158008605
6,27.52153099907769,27.92080213527716,20.904007805718315,25.79036995967255
7,17.79617182413737,22.117385123509344,21.319238662719727,22.157959295166147
8,20.967057122124565,31.009056394697044,17.869724697536892,29.54955823695626
9,24.587289174397785,38.10388340178637,22.500593397352432,37.069923808138235
average,22.279862191942005,29.943292015240655,21.496274322933623,29.609604741777684
