,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,20.079242706298828,41.49128181035762,37.3095703125,44.10181946162789
1,29.54054832458496,50.661536294982625,29.15851593017578,53.25244627999215
2,30.07401466369629,56.26879926295931,31.407930374145508,58.75939330016671
3,34.68470001220703,83.12953332834104,34.261932373046875,79.52543107661629
4,34.791690826416016,37.50182405234166,24.03923988342285,36.819369373845376
5,12.778726577758789,28.894769899198856,16.29426383972168,35.528832163347204
6,18.6411190032959,42.886477378928184,19.990673065185547,44.02787983900334
7,20.40264129638672,47.54887327145112,21.298463821411133,47.075996862352284
8,15.56157112121582,21.18332110284949,12.031429290771484,22.364588871960272
9,11.730193138122559,27.084091629800326,17.957338333129883,28.572236031986932
average,22.82844476699829,43.66505080312103,24.374935722351076,45.00279932608985
