,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,15.195642471313477,17.976217182123875,11.827459335327148,19.91252904463622
1,29.478696823120117,18.933746454587983,28.892250061035156,24.52428513954735
2,21.607097625732422,36.89000125183695,26.139684677124023,35.83492448474337
3,17.984344482421875,30.727379213400376,19.855226516723633,29.969571415246836
4,23.76929473876953,22.2638440321521,28.909656524658203,26.766470919803552
5,32.393707275390625,17.258823369656948,21.574134826660156,14.288750495605182
6,66.07011413574219,41.12063808768618,35.85823440551758,40.19934219865311
7,36.246646881103516,37.3950104722448,33.803985595703125,42.89510441963169
8,15.386826515197754,37.00580940796277,9.900343894958496,36.19782271729504
9,21.195722579956055,41.362019928603914,19.787872314453125,35.6487332889382
average,27.932809352874756,30.09334894002559,23.654884815216064,30.623753412410053
