,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,27.234460164630224,48.51795309828124,24.168227089775932,47.30977799593849
1,33.3700080144973,82.042479719647,45.33139141022213,76.80787592419642
2,29.61062313261486,61.934408261609995,28.38213899400499,60.2583332224477
3,38.01691351996528,66.72629079320403,33.116223532056054,68.14427644196076
4,30.181700449141246,47.21891963419482,26.804052897862025,47.89083264161233
5,25.81201722886827,69.06406194096897,29.975162082248264,70.22814110005756
6,39.78903216407413,85.05195031660813,32.497986233423624,80.44291916761395
7,28.800658150324747,66.34976678081229,30.043851095532613,67.91624182593496
8,28.000066272796147,75.03387537824574,28.746791112990607,79.9493495151476
9,24.58293993510897,67.04279846965028,27.208364486694336,68.49323463436315
average,30.53984190320212,66.89825043932225,30.627418893481057,66.74409824692728
