,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,71.54568481445312,84.37473079588663,71.4422378540039,80.59019099105299
1,115.73029327392578,66.87673569358226,147.15379333496094,63.31325710542169
2,29.6773738861084,83.39114248866579,33.61223602294922,84.63906883774554
3,51.34697723388672,102.20009511382335,53.235618591308594,104.85039219901968
4,64.468505859375,66.28675354414962,123.63746643066406,63.636818325615685
5,52.70729064941406,33.49195235083094,36.35121154785156,43.8039099191284
6,139.0387420654297,100.97312214250023,92.44104766845703,105.88883169486249
7,53.31963348388672,53.24014670726343,27.37494468688965,48.18211842713235
8,15.244855880737305,36.678403121081324,26.265199661254883,36.32193713642719
9,37.088050842285156,52.2727424094144,27.84305191040039,53.25906290607902
average,63.016740798950195,67.97858243671979,63.93568077087402,68.44855875424851
