,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,42.799129486083984,80.8577065446108,47.7425422668457,82.53741037077296
1,31.401629130045574,52.742103103531775,31.05613899230957,52.81652876107884
2,34.16955248514811,47.58186991844398,25.585843404134113,45.87418823149764
3,56.12371571858724,101.07430100976187,64.28205108642578,100.43844168546465
4,25.105641682942707,60.93425138515821,22.963375727335613,60.24979682295858
5,43.827860514322914,94.95984746085847,30.24767557779948,95.25721066957753
6,29.828924814860027,43.328604027352455,21.363257726033527,43.36844817303464
7,24.11347262064616,57.97842612573844,29.399102528889973,47.06027979290825
8,20.771544138590496,48.631084681884424,32.07378896077474,48.28026702743253
9,20.04583199818929,41.93909842640254,19.958097457885742,42.17808534327226
average,32.81873025894165,63.002729268374296,32.46718737284342,61.80606568779979
