,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,58.9520263671875,103.37070641664019,38.31277847290039,103.59446254142384
1,42.65969467163086,77.16536721806446,27.90711784362793,70.77906776042681
2,30.070295333862305,46.45512260262475,20.520187377929688,48.287215053182535
3,31.79973793029785,75.72005037946018,42.23674774169922,75.91456940654263
4,38.33530807495117,52.90938014487684,25.48579978942871,52.87486333254887
5,25.862756729125977,52.96834154295823,23.039411544799805,53.255205840485566
6,62.60736083984375,101.44550729755247,44.33966064453125,97.64667345159056
7,23.39769744873047,60.05901312777087,25.962974548339844,62.82989504416398
8,33.10636520385742,57.973983471748305,31.11171531677246,57.40789271202985
9,17.368362426757812,56.07671258536736,23.597806930541992,48.542073017938506
average,36.415960502624515,68.41441847870637,30.25142002105713,67.11319181603331
