,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,17.728553551893967,23.26643696591954,21.734703284043533,22.772303236126717
1,13.280569663414589,23.37078634894928,15.364011666713617,23.28017485561161
2,14.847643363170135,24.1183436315917,16.193189278627052,21.757503474916973
3,16.082324981689453,21.313911536866463,16.696637471516926,21.545956162897596
4,13.737159044314653,26.99003539772643,15.853211182814379,26.911176421468163
5,19.640597856961765,26.332141779293178,20.532077349149265,25.108055291599985
6,17.200556779519104,27.475048377114458,15.56094329785078,26.24185116142587
7,16.015101188268417,21.43480549058536,16.792866926926834,21.400809991152734
8,12.240430685190054,14.79695264758227,11.707531048701359,14.64027468652339
9,18.434005492772812,23.719205247974124,19.79651859479073,23.515674645564516
average,15.920694260719495,23.28176674236028,17.02316901011345,22.717377992728757
