,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,30.602062225341797,70.40274426181745,47.25889587402344,72.2870148555238
1,72.99066162109375,71.94985821535228,26.922826766967773,80.4281383923604
2,15.520502090454102,19.967083550147443,20.758108139038086,19.964630473207254
3,35.53910827636719,90.47614087077116,25.56949234008789,98.96634037240867
4,25.438257217407227,70.03601389971955,30.91799545288086,72.16053824734004
5,22.20427131652832,44.467635644439476,45.29299545288086,45.32607349339901
6,16.02601432800293,25.8362839092405,12.230770111083984,25.901506236260325
7,20.339588165283203,27.875454272206802,17.873058319091797,29.928300108750133
8,50.14834976196289,57.30864223451365,41.9164924621582,64.74424812547542
9,14.954002380371094,19.61075520649949,16.640844345092773,18.05409095557005
average,30.37628173828125,49.793061206470774,28.538147926330566,52.77608812602951
