,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,69.61310577392578,56.027350942629226,56.4759521484375,48.89676196077898
1,65.77982330322266,124.95503569970919,65.41995239257812,123.2325336781173
2,60.802879333496094,137.80598415928512,44.29856491088867,138.28234828252087
3,36.711177825927734,25.303450810068227,43.0512809753418,24.95360769668134
4,39.7492790222168,107.96226546309296,158.05455017089844,103.61441653643
5,41.66332244873047,32.48643234748615,42.14993667602539,31.307483147520436
6,35.826637268066406,150.2518460885174,81.4250717163086,129.9884318024874
7,31.89086151123047,114.06925225005486,31.74356460571289,109.90944560234905
8,39.61335754394531,113.9634411308737,46.867347717285156,109.27725818285565
9,32.109466552734375,39.51396325608874,29.002779006958008,38.99102639785379
average,45.37599105834961,90.23390221478056,59.84890003204346,85.84533132875949
