,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,66.13287353515625,271.37009811695197,45.80006790161133,185.60063709531062
1,42.12681579589844,152.4994795314312,43.27991485595703,94.87410839224735
2,47.06272506713867,95.64559466127201,56.06754684448242,95.57482959090716
3,48.733917236328125,58.9916343546791,41.818885803222656,58.65684844929348
4,70.87115478515625,164.19860638680123,38.17634201049805,110.97022451764624
5,50.158931732177734,163.65131202455723,77.65741729736328,158.22718648844142
6,54.17848205566406,111.46405240717796,32.46745681762695,69.20936981245296
7,41.01203918457031,103.13769946627649,40.52402114868164,101.69297381379833
8,125.10140991210938,138.58399427697793,52.457916259765625,79.8864737909204
9,189.96475219726562,373.554729149409,71.50860595703125,316.04676944119
average,73.53431015014648,163.3097200375534,49.97581748962402,127.0739421392208
