,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,18.41364860534668,26.248765036840656,15.06299877166748,26.311166123827224
1,21.113571166992188,52.21532836649997,17.159984588623047,51.06050402190508
2,16.607078552246094,30.00652792006881,18.261703491210938,29.684326438761765
3,13.05556583404541,34.97965962052673,14.56908893585205,31.415126025328966
4,11.091707229614258,26.59260954319166,11.08669662475586,24.909379838805858
5,22.667131423950195,47.04417844500645,20.653718948364258,49.1416620482399
6,19.35881805419922,37.125602865454674,14.064709663391113,35.97180047218495
7,30.442642211914062,47.72351509274968,23.08373260498047,47.754414958456906
8,32.9171257019043,53.449525378589094,20.88603973388672,51.74794705669291
9,31.470111846923828,63.696930467253786,25.199827194213867,63.02904416807558
average,21.713740062713622,41.908264273618144,18.00285005569458,41.10253711522792
