,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,71.9629135131836,53.7343972793623,41.23786544799805,55.51156676616663
1,47.88640594482422,54.223495528349964,68.21855926513672,54.95358137831027
2,30.12346649169922,21.249676950707837,25.160120010375977,22.96276192007182
3,32.83230209350586,25.7348116821083,31.49591827392578,15.235051478386879
4,49.50849914550781,38.682324070607685,60.891014099121094,47.78264847409738
5,40.415958404541016,73.37722114789347,64.65579223632812,78.76500992181847
6,22.889419555664062,21.4967677123776,27.429317474365234,20.118090978495896
7,72.60108947753906,89.27984760766678,61.311275482177734,96.8341952571382
8,39.51296615600586,41.105222061061184,36.97695541381836,37.719489757239025
9,23.527698516845703,13.607216001838749,23.2756404876709,11.898582109623463
average,43.12607192993164,43.249098004197386,44.0652458190918,44.17809780413481
