,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,10.559762001037598,27.865268480287746,13.378310203552246,25.05287799639048
1,21.252580642700195,35.77026700474526,21.55998992919922,29.621823812366028
2,21.88326644897461,47.073541724431344,29.66395378112793,45.39568841143938
3,26.35833168029785,61.349252268771984,20.778575897216797,62.62066585810696
4,31.057025909423828,49.17795586139125,25.863435745239258,42.56852659347447
5,28.146427154541016,68.07267045008719,28.34630584716797,63.85430949311575
6,34.3034782409668,64.86889811587847,26.39130210876465,69.29909471864445
7,35.2167854309082,33.19655763909405,16.646163940429688,32.54982111296566
8,19.8452205657959,25.992011570253855,30.230077743530273,24.247929204497478
9,44.485652923583984,64.47039227744065,18.68730926513672,62.18109681848075
average,27.310853099823,47.78368153923818,23.154542446136475,45.73918340194814
