,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,15.63834285736084,46.210871384063836,17.798168182373047,49.7842145797565
1,22.79740333557129,39.22657554393794,28.95285987854004,39.55467093581681
2,21.805402755737305,28.343359164342758,22.036012649536133,28.151990225044248
3,18.196805953979492,35.42725580501811,21.81623649597168,37.9186285862594
4,19.27513313293457,33.86494332824309,19.666736602783203,37.38652946065382
5,16.311927795410156,28.48171833118116,16.89363670349121,26.945749926935324
6,22.4462890625,50.824690666226665,29.390972137451172,50.68674136884464
7,12.539397239685059,35.146348807854544,12.265384674072266,34.707507656832945
8,20.962543487548828,29.26203607809533,20.785064697265625,27.155988734702426
9,19.643606185913086,37.85752997653182,26.561120986938477,38.24484531805439
average,18.961685180664062,36.46453290854953,21.616619300842284,37.05368667929005
