,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,39.78440340827493,41.737709905737866,21.471506483414593,40.97291513904101
1,26.013534658095416,31.644932524545837,27.710133720846738,30.131214920349354
2,37.7730344323551,28.957656696564243,28.833309846765854,26.572021996655913
3,14.460443104014677,29.014264145174874,21.129041952245377,26.903977444950666
4,31.09877171235926,25.86625193079651,25.485466788796817,24.26674124400482
5,35.80201530456543,30.025675673222025,18.219092649572037,30.46337369333154
6,22.71001905553481,32.502534310485146,20.331959892721738,31.95907194650836
7,18.017914098851822,24.928563661346654,22.80289874357336,24.571618991141982
8,25.207780613618738,26.115039330728486,21.881755772758932,22.906048005647087
9,32.19774986715878,32.250564464027306,25.957380406996784,30.03822847702938
average,28.306566625482894,30.304319264262897,23.38225462576922,28.878521185866013
