,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,25.162269846598306,56.11365549531494,35.30714391072591,54.194864950702616
1,25.56887016296387,73.02509988743356,29.73716100056966,75.33740002185202
2,26.783453877766927,51.97392099745668,23.304923629760744,52.34125372084719
3,24.526218287150066,51.681318499535344,32.21793556213379,52.42909065169592
4,25.192678451538086,46.16614855304226,25.02262585957845,47.313152607063635
5,30.7164431254069,66.89630069216726,32.90659688313802,68.55957305528659
6,25.750546646118163,78.89824228930064,33.16483815511068,80.17306206725027
7,21.572134017944336,43.309120860693334,23.79867998758952,43.36424855041397
8,35.34966278076172,69.80150330187446,30.450058364868163,61.211192002488424
9,37.286171976725264,119.39790153144907,26.6502628326416,110.50391318882902
average,27.790844917297363,65.72632121082675,29.25602261861165,64.54277508164299
