,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,50.226505279541016,52.01777267456055,93.92459106445312,54.58470672583271
1,58.808624267578125,60.75648880004883,58.48470687866211,69.62463175308606
2,56.492889404296875,64.23309326171875,63.57778549194336,67.4233573049884
3,34.11758041381836,43.26042556762695,94.44839477539062,40.26957535235686
4,46.11900329589844,36.795230865478516,94.93394470214844,32.122997952920294
5,40.5567741394043,37.78506851196289,37.15000915527344,48.084345603434386
6,44.438453674316406,55.73229217529297,65.10557556152344,44.72187626236806
7,67.99058532714844,67.1236801147461,94.50447845458984,52.72183918870973
8,64.5825424194336,68.52023315429688,69.01346588134766,62.038472398377934
9,55.89733123779297,46.67051315307617,96.2363052368164,41.0078716990631
average,51.92302894592285,53.28947982788086,76.73792572021485,51.25996742411375
