,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,44.94524002075195,24.44003471162845,106.9913330078125,22.74306938873817
1,34.30500030517578,25.15773107573289,33.609317779541016,25.180262980639323
2,96.27369689941406,28.626145649840335,81.68199920654297,28.951500678985866
3,69.44786071777344,25.0975748946414,80.82054901123047,29.92824381564427
4,51.58357620239258,23.21424540206699,47.56904602050781,23.45564067621507
5,49.829833984375,22.797848699695315,54.47346115112305,22.833286544508965
6,92.92643737792969,26.40972277335439,85.27479553222656,23.04974005776174
7,134.98155212402344,22.556884353727714,84.2417984008789,25.93555193342204
8,90.48290252685547,25.308671922311042,135.46621704101562,31.418614471345546
9,43.380550384521484,25.463416978802584,61.73475646972656,20.66108914460727
average,70.81566505432129,24.90722764618011,77.18632736206055,25.415699969186825
