,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,85.10444499424526,52.158886225442444,42.432476370675225,55.30246281046176
1,57.56189640590123,72.37286843464148,55.672479248046876,75.14734016321398
2,50.89132810320173,67.08680315987769,65.70978088378907,67.6412004146198
3,51.38468268258231,74.08800930083736,59.43996091570173,81.41192241728412
4,113.39826202392578,86.74523219950073,73.51634216308594,86.40802224824198
5,44.585720498221264,74.2031692135699,54.6934084211077,73.54370115914696
6,68.12776783534459,73.67393534604318,73.93981982639858,77.89959545790167
7,53.042815235682895,68.68506098903333,60.22206508091518,71.98008962462058
8,47.70711212158203,65.26579850674833,65.43090591430663,66.68570537413649
9,68.75174691336495,74.3246390674176,98.22694091796875,76.23156259385625
average,64.0555776814052,70.86044024431119,64.92841797419956,73.22516022634835
