,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,21.67796516418457,25.847452078656826,36.976348876953125,26.15924570214488
1,45.58430099487305,24.16357196637858,51.32233428955078,24.12438130294073
2,42.4067497253418,28.339376915409854,39.55741882324219,28.081445319788926
3,52.1639518737793,34.93666012116529,56.084564208984375,34.86017216467442
4,33.66357421875,32.920097235581586,33.99960708618164,35.26445165206873
5,98.666748046875,22.288463777803923,52.88404083251953,27.20904685806383
6,59.94675064086914,36.609166404432095,54.384029388427734,37.28843980827815
7,60.274322509765625,28.784977689937524,56.72642135620117,28.685272765589865
8,31.810260772705078,29.721041030996474,31.831558227539062,27.798763048789528
9,37.34580993652344,24.435179659861003,36.733428955078125,22.8874345884291
average,48.3540433883667,28.804598688022317,45.04997520446777,29.235865321076812
