,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,252.53562927246094,106.55737704918033,253.7618408203125,106.55737704918033
1,223.5471954345703,35.09627894873797,390.553466796875,35.09627894873797
2,578.9985961914062,25.903614457831324,495.3835754394531,25.903614457831324
3,25.23064613342285,39.04666284184356,26.980451583862305,39.04666284184357
4,568.0006103515625,79.1823029824215,60.359012603759766,79.18230298242149
5,314.93408203125,35.09627894873797,316.21734619140625,35.09627894873797
6,65.1974868774414,25.793650793650798,50.73914337158203,25.7936507936508
7,229.6451416015625,106.55737704918033,240.52789306640625,106.55737704918033
8,6.47260856628418,39.04666284184356,44.23353576660156,39.04666284184357
9,57.46648025512695,25.793650793650798,49.403324127197266,25.7936507936508
average,232.20284767150878,51.80738567070781,192.8159589767456,51.80738567070781
