,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,44.65510940551758,23.901471153468123,31.888370513916016,22.626270631782358
1,37.555301666259766,32.268352257290836,31.301471710205078,32.19810697670359
2,31.376056671142578,27.89006748685961,36.1833610534668,27.45587250885289
3,47.12895965576172,33.477184297781484,48.618778228759766,33.557037883318195
4,28.815610885620117,27.742986302024754,36.71450424194336,27.5177155360666
5,35.08183670043945,32.17930746073653,35.02769470214844,32.17155914682843
6,41.082786560058594,26.132869581002527,36.636390686035156,25.606432234957886
7,29.186113357543945,33.91180456367259,31.760299682617188,33.38246098427023
8,39.98617172241211,33.33892141023465,40.878177642822266,33.270496755750536
9,36.45388412475586,38.60966342134393,32.80038833618164,38.235583503091576
average,37.13218307495117,30.945262793441508,36.18094367980957,30.602153616162223
