,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,148.59713745117188,58.04784040437843,258.5098876953125,59.488701252671305
1,54.943153381347656,27.512822087116895,46.09893035888672,26.873064102235105
2,71.11978912353516,27.124191089951054,65.22725677490234,26.84206736751812
3,86.32805633544922,31.491970710756835,87.47205352783203,35.40540656091723
4,131.61680603027344,34.41855416236169,106.01249694824219,34.004121939191194
5,35.31071853637695,63.403288635317764,71.32038116455078,66.5814890742327
6,191.64064025878906,60.986676264909576,191.1900177001953,63.97477663791204
7,39.843563079833984,63.403288635317764,62.11354064941406,66.5814890742327
8,34.79931640625,24.701852749082796,45.33485412597656,24.428430155177224
9,60.86601638793945,35.268220474640856,35.595458984375,34.24570206525338
average,85.50651969909669,42.63587052138337,96.88748779296876,43.8425248229341
