,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,33.694297790527344,26.095434385359624,42.22860336303711,25.60359289865346
1,29.860912322998047,23.379119517740335,39.908775329589844,23.6995044450896
2,33.36513137817383,33.36632876523765,46.484458923339844,33.004789322626735
3,31.984148025512695,32.44720447627881,34.110504150390625,27.788526966258214
4,28.716394424438477,26.350048532975578,45.27262496948242,22.588307868832427
5,39.271156311035156,31.67441754417666,38.18608856201172,32.96432068979493
6,24.73687744140625,32.169769055101796,35.666908264160156,32.42629672900257
7,31.604978561401367,47.57658671184762,45.947265625,48.00212661881862
8,28.604658126831055,23.034624380045056,40.16722869873047,22.115224963463856
9,36.653011322021484,20.48802940053247,40.98533248901367,17.717201640116013
average,31.84915657043457,29.65815627692956,40.895779037475585,28.59098921426564
