,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,54.317657470703125,21.839892079901436,28.575979232788086,24.357911014163946
1,36.19425964355469,21.875745783982715,33.417640686035156,19.25174004289216
2,34.45244598388672,17.748249607442325,48.1336669921875,16.185297646552748
3,52.101261138916016,25.970458587378474,29.331178665161133,25.66844756471739
4,35.48054504394531,20.16898254536716,28.76704978942871,20.97042217237548
5,22.15556526184082,22.285542916013647,26.972253799438477,22.808781414635508
6,34.01742172241211,27.440112872001325,31.510120391845703,27.83977474132931
7,55.18763732910156,16.786157463369026,52.691436767578125,17.495466914155188
8,47.3321533203125,17.046193659705356,47.367271423339844,16.07291292633739
9,34.76780319213867,22.210231154982964,31.475500106811523,22.96651170088566
average,40.60067501068115,21.337156667014444,35.82420978546143,21.361726613804475
