,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,66.0850601196289,192.33753507937536,67.9045181274414,246.91917626278368
1,99.71724700927734,61.53550230782133,75.00788879394531,61.72204700667457
2,373.3073425292969,279.7161307338392,293.4224853515625,283.18944665067283
3,406.3921203613281,270.73744830359203,269.1335144042969,235.88345657438347
4,80.94542694091797,99.86888496031018,84.29324340820312,100.32260496364177
5,322.5893859863281,142.28555298899644,190.26693725585938,130.44140632082727
6,163.00189208984375,190.80342035411252,176.15817260742188,238.50176818074624
7,196.15769958496094,212.69965033273212,203.86207580566406,213.41537709787937
8,71.38200378417969,69.70412827266847,63.84581756591797,69.71796434047306
9,293.6985168457031,105.25770336348921,239.52587890625,89.76879407984097
average,207.3276695251465,162.49459566969367,166.34205322265626,166.98820414779232
