,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,98.40908271388004,87.42043895140235,47.92270017925062,81.84021822289627
1,100.57544607865184,71.47150161502594,64.15308580900493,61.24591701633143
2,74.84202736302426,51.74830322176439,56.772623564067636,48.48220613860426
3,71.13883128919099,66.59201448342968,73.62492290296052,63.89433807440253
4,63.09696970487896,55.16632803486067,72.58595697503341,52.495195208875465
5,53.32383165861431,94.44230077141607,66.97544358905994,86.09633990661084
6,74.45107992071854,59.2426514875584,63.179892690558184,59.02966126390287
7,44.43364193564967,70.91344139882737,71.80103803935803,69.37632753585083
8,66.8653584530479,60.281868225232046,60.18127200478002,59.292177511940736
9,105.5539580897281,71.02879581798405,61.482827839098476,68.62264825851689
average,75.26902272073846,68.8307644007501,63.867976359317176,65.0375029137932
