,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,54.177459716796875,85.81234870932602,63.29883575439453,85.462434534796
1,58.04359436035156,61.46746961972733,83.0750732421875,58.24436274926204
2,41.180240631103516,57.550650404610984,45.13512420654297,54.092258797360785
3,77.15489196777344,49.69652638835983,56.80607223510742,49.12270884962744
4,55.94815444946289,60.15002489093435,40.474525451660156,57.60072497125247
5,53.002349853515625,58.682734651025804,53.785179138183594,58.190280614916325
6,98.32867431640625,80.67501415065306,85.33990478515625,80.3775845008506
7,49.091697692871094,52.45730050941357,70.29620361328125,50.55303958929673
8,45.2878303527832,40.25275584455131,60.01083755493164,39.39063055488479
9,106.37628173828125,90.55361573152325,67.78016662597656,87.21860642420152
average,63.85911750793457,63.72984409001255,62.60019226074219,62.025263158644876
