,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,59.12127685546875,41.86942976953538,43.108116149902344,42.17900011804043
1,77.65843963623047,79.92215786432223,93.71762084960938,80.22966700749052
2,86.73249816894531,67.66049131528037,78.9079360961914,69.48458323750368
3,49.31063461303711,79.78864476855352,51.03779983520508,81.27996716806207
4,80.35189056396484,71.78393219674167,73.52104187011719,71.91048277059299
5,60.10148620605469,72.8669433282358,65.18685150146484,73.63813353160981
6,54.63697052001953,37.57449617520647,48.527748107910156,44.44553221227581
7,86.96491241455078,64.97189721875604,47.5994758605957,64.7364835468791
8,71.49866485595703,76.0425540651021,68.90003204345703,76.65744019001667
9,88.49910736083984,93.53461068856333,74.04451751708984,92.0533031695363
average,71.48758811950684,68.6015157390297,64.45511398315429,69.66145929520074
