,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,19.509573703342014,48.11597973191647,17.038128068712023,44.56508814493792
1,24.993223275078666,34.41200808345846,22.954898240831163,34.54068146854013
2,21.76421373155382,59.2550311693443,26.12089869181315,59.152813479567776
3,32.32915742662218,62.34337697185105,25.568874740600585,60.40779835573906
4,19.15661294725206,52.180642450470685,17.73827707502577,52.01777408068676
5,31.161991204155814,59.166090561604165,20.274977705213757,56.955895427738845
6,22.4447198232015,33.27460387577336,23.189676411946614,33.20466013068322
7,26.87051493326823,45.26747594925255,25.047971767849393,41.447012388051185
8,22.81213027106391,41.55894042733419,19.817806688944497,42.46907162693513
9,23.309523179796006,48.62634047069778,26.399906158447266,48.27597689958839
average,24.43516604953342,48.420048969170296,22.415141554938423,47.30367720024684
