,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간포함_MLP_5_5_시간(총),쉰시간포함_KNN_5_5_시간(총),쉰시간포함_MLP_5_5_시간(0제외),쉰시간포함_KNN_5_5_시간(0제외),쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지,쉰시간제외_MLP_5_5_시간(총),쉰시간제외_KNN_5_5_시간(총),쉰시간제외_MLP_5_5_시간(0제외),쉰시간제외_KNN_5_5_시간(0제외)
0,44.613826751708984,75.67920729762713,32.146175384521484,174.75744147756413,63.716651916503906,138.97752712362401,36.91127014160156,73.55820318431961,64.75755310058594,186.94910769719567,11.51086139678955,150.0317412346172
1,32.2554931640625,45.340285306335716,33.53138732910156,80.60116703956574,30.47450828552246,69.49024882100929,33.91573715209961,46.53539407230428,44.708778381347656,85.88442163420656,42.42523956298828,73.33117143609029
2,27.9931583404541,42.50385158293368,43.7800178527832,70.09902462344493,45.626914978027344,59.590954598458744,34.434539794921875,46.58537528773879,47.02207565307617,82.44182345472,50.35685348510742,67.38622639176671
3,89.46018981933594,123.67071455290937,72.27381134033203,207.54278954402884,74.61563110351562,172.25257434604308,140.198974609375,145.80548381058534,115.2498550415039,284.84880685237124,123.69247436523438,228.20736488852455
4,59.478519439697266,64.09527529011731,61.526180267333984,60.83482289083085,50.26523971557617,63.461151202177724,59.02910614013672,83.68513341143165,72.2231216430664,134.82749960866616,59.20832443237305,118.00818856630994
5,25.756277084350586,33.353197452149416,44.70085144042969,35.209340171631794,40.860504150390625,34.689532879515895,28.292381286621094,33.41672519879077,54.779178619384766,35.29350682603993,43.95351791381836,34.772887925041175
6,50.17241668701172,52.230163869227766,63.41972351074219,55.24080226685398,57.09339904785156,54.23741003362533,44.982460021972656,52.32152160236231,71.7767333984375,55.368719048348744,53.42891311645508,54.361530555745865
7,39.428585052490234,34.11991018057539,57.511409759521484,35.812922549061625,64.19871520996094,36.1147814203128,43.61354064941406,34.16704225982406,57.855831146240234,35.958042767207246,55.4202995300293,36.05223615177711
8,27.232681274414062,47.38027209076793,35.95255661010742,139.28016025520236,51.76504135131836,98.3722649839092,25.12525177001953,45.321622752174974,40.283599853515625,178.79414153071926,61.733001708984375,134.52222180211479
9,59.22123718261719,84.87524912686514,52.964149475097656,169.71400295872644,51.2554931640625,136.260414244764,57.300315856933594,85.93880058664813,49.78866195678711,173.32118171457415,52.787803649902344,138.86028815448702
average,45.56123847961426,60.324812674950884,49.78062629699707,102.90924737769107,52.98720989227295,86.344685965344,50.38035774230957,64.73353021661799,61.844538879394534,125.36872511340489,55.451728916168214,103.55338571064746
