,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,36.67247009277344,72.23700355330459,44.513545989990234,71.84084428690127
1,16.923015594482422,34.77214757440853,18.040050506591797,34.33340516264756
2,29.57488441467285,29.983185812968177,22.83262062072754,31.724574935307416
3,36.43034362792969,76.40492510699148,29.770301818847656,75.33634379650452
4,19.745962142944336,35.9951438864396,21.41299057006836,35.64321399660369
5,33.0433349609375,57.33123886859743,34.45986557006836,58.068532346336625
6,43.93655014038086,68.96724428267646,52.508235931396484,66.77853588821372
7,22.087125778198242,35.12447355517009,18.391653060913086,34.02410150297751
8,37.562164306640625,71.20276327133851,25.877498626708984,72.04255029979241
9,24.314783096313477,54.991058391213045,16.630752563476562,49.42841898211571
average,30.029063415527343,53.7009184303108,28.443751525878906,52.922052119740044
