,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,54.770172119140625,42.50563494059636,51.756805419921875,36.42658270056206
1,78.21560668945312,24.215959261839956,69.86563873291016,24.14106489692149
2,28.0688533782959,20.878159939778612,20.217208862304688,20.946063893684595
3,36.146339416503906,24.710651935153127,27.575883865356445,25.039576344104887
4,36.25646209716797,34.217181852445975,35.31537628173828,32.24351304261817
5,30.308740615844727,41.840452260093016,18.380863189697266,36.66488740403992
6,36.106201171875,23.978099595570534,41.510658264160156,24.067857776729344
7,44.40570068359375,36.192178461444314,35.43136215209961,35.24870093779382
8,64.07384490966797,20.161116722391164,55.39099884033203,20.44034030258474
9,19.564483642578125,18.199625721004406,15.879602432250977,18.11071588129145
average,42.79164047241211,28.689906069031743,37.13243980407715,27.33293031803305
