,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,51.7715950012207,118.15499080653427,50.6339111328125,117.73365169313304
1,23.02229881286621,49.01293403923689,29.561948776245117,49.93439852554194
2,71.0608139038086,74.28926848951461,49.8216438293457,74.3019616213692
3,32.7135009765625,83.19279300191623,30.718456268310547,83.4223341580279
4,59.999237060546875,141.20043898344767,59.11359786987305,139.15688475202433
5,31.94097328186035,33.15329687268918,26.555496215820312,32.14144145149012
6,53.659603118896484,73.84260429464142,72.80974578857422,71.82979631361626
7,38.36231994628906,109.02093003352506,37.65322494506836,108.41731627786938
8,51.200439453125,49.703684564144126,33.482547760009766,49.701230460575765
9,47.25149917602539,48.30514003153335,33.91999053955078,47.37620854311173
average,46.09822807312012,77.98760811171829,42.427056312561035,77.40152237967597
