,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,47.483821868896484,25.09378461546148,17.074928283691406,34.700067940035396
1,41.417903900146484,48.5813884002337,59.966796875,48.07968415928101
2,16.296396255493164,16.161903289025346,20.47547149658203,19.812624955639453
3,44.34242630004883,49.68459901748916,35.83231735229492,45.37090682305542
4,57.632999420166016,22.205886758782032,48.94582748413086,24.91695646229843
5,94.611328125,73.51412751430337,74.6201171875,83.82809583241522
6,79.1141586303711,80.54973467024229,67.47955322265625,86.76376992922987
7,32.134681701660156,36.82593087915339,26.439165115356445,48.40079922026296
8,51.342193603515625,79.71685879697357,68.6614761352539,93.76838955604556
9,33.058109283447266,39.0297355449043,52.500885009765625,64.30685505260388
average,49.74340190887451,47.13639494865687,47.19965381622315,54.99481499308672
