,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,16.337665557861328,30.393343025035037,17.871002197265625,26.176481721710786
1,31.180511474609375,40.51416387623631,27.11387825012207,45.180036518265595
2,9.262603759765625,16.55597237090113,16.533275604248047,21.794561920653894
3,33.11112976074219,45.42981599959059,47.61899185180664,58.34622062427339
4,20.629594802856445,57.15247926915503,52.2481803894043,71.34016598323721
5,15.384483337402344,59.41990154776027,9.535066604614258,61.92900772935762
6,11.07873821258545,27.076883778033245,14.557516098022461,20.398379200647444
7,23.980257034301758,75.68106438575668,17.29337501525879,68.09956276966487
8,13.440178871154785,29.002671454122574,15.506476402282715,37.694551600148905
9,30.17717742919922,34.50137459843614,20.976486206054688,41.88908078600113
average,20.45823402404785,41.5727670305027,23.92542486190796,45.28480488539609
