,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,22.91088104248047,30.053309233172882,27.892465591430664,29.58624474190029
1,38.85588455200195,40.20181709742446,34.192901611328125,39.68834533810358
2,22.939321517944336,31.796079384637423,17.99441146850586,32.02721210833569
3,26.90841293334961,31.251288774475494,19.791976928710938,31.927460820966687
4,31.328224182128906,46.82459668152676,36.630760192871094,46.85911630174737
5,31.070131301879883,38.500103747527184,39.84709930419922,36.68425378228892
6,18.76915168762207,29.324530567851763,18.832904815673828,36.76548652468751
7,27.789405822753906,62.40424432482386,37.509193420410156,62.741786971995595
8,42.18863296508789,57.515618181360125,38.47868728637695,53.664479701851775
9,25.51776123046875,48.40269921099763,35.140350341796875,47.90242470674361
average,28.827780723571777,41.627428720379754,30.63107509613037,41.784681099862105
