,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,20.999752044677734,56.543980500016445,23.062667846679688,58.43062250283915
1,56.501338958740234,71.75097847801119,26.59596824645996,71.86932076448605
2,25.715805053710938,23.88649188512262,29.458349227905273,28.07670107821481
3,38.258636474609375,34.99433896604086,26.828279495239258,41.16741454753968
4,16.230297088623047,53.88108748053766,29.45536994934082,55.599951763404555
5,19.817005157470703,75.14117226871731,29.164979934692383,77.95595992675698
6,13.789754867553711,25.7427720672439,19.464021682739258,24.993428455676625
7,43.03649139404297,19.6522812611611,17.78948974609375,22.06689855718968
8,29.43767547607422,45.96228334946338,24.337291717529297,48.21705379522151
9,14.527713775634766,12.265253739843203,16.770618438720703,15.64379498399635
average,27.831447029113768,41.98206399961577,24.29270362854004,44.402114637532534
