,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,38.63427734375,174.20379038304472,39.84442901611328,86.33431458800213
1,42.45082092285156,216.23037482528088,55.46210479736328,133.28629778213278
2,51.79185104370117,74.41231600626391,47.5792121887207,70.01758000103742
3,34.086151123046875,163.24479394278217,42.52070999145508,164.22066506526176
4,57.58790969848633,143.96936840193788,29.179285049438477,95.82581476393263
5,54.47846603393555,119.17954143294622,23.382366180419922,111.59378982754838
6,51.25068664550781,244.52587680453703,148.50369262695312,179.3954790423897
7,44.8511962890625,49.92806466277472,30.753023147583008,46.21545707084806
8,104.15980529785156,145.54874938561153,55.679298400878906,90.2949352395104
9,166.80270385742188,181.58012879192324,38.93041229248047,131.0615394167612
average,64.60938682556153,151.28230046371021,51.18345336914062,110.82458727974245
