,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간포함_MLP_5_5_시간(총),쉰시간포함_KNN_5_5_시간(총),쉰시간포함_MLP_5_5_시간(0제외),쉰시간포함_KNN_5_5_시간(0제외),쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지,쉰시간제외_MLP_5_5_시간(총),쉰시간제외_KNN_5_5_시간(총),쉰시간제외_MLP_5_5_시간(0제외),쉰시간제외_KNN_5_5_시간(0제외)
0,338.73199462890625,276.760916802438,344.0384826660156,390.005727220928,239.74468994140625,217.8865211672939,84.753662109375,190.5146208688529,89.94718933105469,296.10153732248466,89.577880859375,152.3533568242435
1,104.58602905273438,188.27516501591512,72.99449920654297,196.7962670010781,120.30133056640625,148.04289244817815,135.6673126220703,188.89028941450474,94.85169219970703,196.68682083338646,118.75643157958984,198.94247376854813
2,68.80534362792969,57.642145734823515,77.48761749267578,85.38452334122977,77.58539581298828,90.18437653650406,64.64551544189453,56.25981823134645,75.74800109863281,84.05020541412573,77.10366821289062,84.39558168755316
3,102.03874969482422,411.6233888464725,68.259033203125,323.62890375243916,79.2301254272461,321.7339237909909,116.97639465332031,393.93135183302127,72.68390655517578,386.907554327338,119.9620132446289,343.65459913722486
4,802.61181640625,398.0106125667765,81.13640594482422,309.91252299643395,91.19651794433594,151.241672214321,171.68002319335938,355.2324762450219,96.72462463378906,232.12847971750094,103.54890441894531,131.35128479028035
5,364.3685302734375,498.08888312316924,91.83441162109375,444.1407179584913,227.51637268066406,478.33626783155063,125.73416900634766,382.6817335858051,101.53661346435547,266.21126597062437,115.45956420898438,270.93083065706816
6,121.58901977539062,225.7937404611741,58.42982482910156,207.74219733597064,64.27839660644531,109.79107645559918,72.77684783935547,247.0568799282838,65.51222229003906,216.27431569469198,81.31092071533203,100.46791041960942
7,56.618377685546875,99.21945534347142,71.84642028808594,168.30498345174496,67.91434478759766,95.56028001847528,68.7777099609375,106.76726748074084,68.98029327392578,180.845432727486,68.92828369140625,118.85474999830339
8,134.0624237060547,276.1281778780515,65.15132141113281,190.87397265030378,71.18714904785156,91.66103232141931,56.18939208984375,224.8378921511452,67.58424377441406,199.6029811955296,69.83242797851562,90.6361903773652
9,101.30716705322266,182.97031686317408,167.9508056640625,268.99934161163463,364.647705078125,130.98201601980278,202.0513458251953,181.1088477040032,311.7635192871094,270.40694922047385,213.4127655029297,137.71176740030887
average,219.4719451904297,261.4512802635466,109.91288223266602,258.5789157320254,140.36020278930664,183.5420058804135,109.92523727416992,232.72811774427254,104.53323059082031,232.92155424236415,105.78928604125977,162.92987450605048
